"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F._Z._T._X.N_FLAGS
"",IIP - Other Investment - Net (Assets minus Liabilities) - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:58,
1999-10,38290,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-34987,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-3499,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,111819,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,246408,
2004-01,235690,
2004-04,268774,
2004-07,317866,
2004-10,344976,
2005-01,363354,
2005-04,411026,
2005-07,434972,
2005-10,422614,
2006-01,438866,
2006-04,479328,
2006-07,485378,
2006-10,545120,
2007-01,556487,
2007-04,630557,
2007-07,667981,
2007-10,765741,
2008-01,745964,
2008-04,757535,
2008-07,816824,
2008-10,838211,
2009-01,824486,
2009-04,860193,
2009-07,811318,
2009-10,814113,
2010-01,802241,
2010-04,813834,
2010-07,824099,
2010-10,775780,
2011-01,792967,
2011-04,857371,
2011-07,904541,
2011-10,901839,
2012-01,862614,
2012-04,938706,
2012-07,943094,
2012-10,991179,
2013-01,974640,
2013-04,966222,
2013-07,984856,
2013-10,1027334,
2014-01,1033577,
2014-04,1054480,
2014-07,1092928,
