"",BBK01.OEAE15J,BBK01.OEAE15J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:39,
2002-01,0.196,
2002-04,0.326,
2002-07,0.331,
2002-10,0.326,
2003-01,0.326,
2003-04,0.342,
2003-07,0.348,
2003-10,0.211,
2004-01,0.183,
2004-04,0.189,
2004-07,0.170,
2004-10,0.136,
2005-01,0.143,
2005-04,0.141,
2005-07,0.140,
2005-10,0.186,
2006-01,0.186,
2006-04,0.151,
2006-07,0.130,
2006-10,0.161,
2007-01,0.143,
2007-04,0.105,
2007-07,0.114,
2007-10,0.103,
2008-01,0.115,
2008-04,0.113,
2008-07,0.147,
2008-10,0.138,
2009-01,0.131,
2009-04,0.121,
2009-07,0.124,
2009-10,0.126,
2010-01,0.035,
2010-04,0.109,
2010-07,0.119,
2010-10,0.134,
2011-01,0.126,
2011-04,0.149,
2011-07,0.132,
2011-10,0.126,
2012-01,0.164,
2012-04,0.148,
2012-07,0.161,
2012-10,0.176,
2013-01,0.168,
2013-04,0.172,
2013-07,0.199,
2013-10,0.179,
2014-01,0.185,
2014-04,0.200,
2014-07,0.211,
