"",BBK01.OEAF33Q,BBK01.OEAF33Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:32,
2002-01,24.152,
2002-04,24.190,
2002-07,23.138,
2002-10,23.242,
2003-01,23.019,
2003-04,27.385,
2003-07,27.462,
2003-10,27.172,
2004-01,26.179,
2004-04,24.427,
2004-07,24.331,
2004-10,24.273,
2005-01,24.844,
2005-04,24.860,
2005-07,24.854,
2005-10,24.886,
2006-01,24.948,
2006-04,27.701,
2006-07,24.805,
2006-10,24.670,
2007-01,24.992,
2007-04,24.519,
2007-07,18.532,
2007-10,18.461,
2008-01,18.447,
2008-04,18.443,
2008-07,18.368,
2008-10,18.289,
2009-01,18.218,
2009-04,19.103,
2009-07,19.202,
2009-10,18.937,
2010-01,19.325,
2010-04,19.211,
2010-07,19.449,
2010-10,19.644,
2011-01,19.599,
2011-04,19.635,
2011-07,19.857,
2011-10,19.783,
2012-01,19.770,
2012-04,19.938,
2012-07,20.144,
2012-10,20.387,
2013-01,20.441,
2013-04,20.554,
2013-07,20.759,
2013-10,20.927,
2014-01,21.080,
2014-04,21.250,
2014-07,21.543,
