"",BBK01.OEAC35M,BBK01.OEAC35M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:23,
2002-01,0.949,
2002-04,0.954,
2002-07,0.950,
2002-10,1.108,
2003-01,0.879,
2003-04,0.907,
2003-07,0.919,
2003-10,0.922,
2004-01,0.930,
2004-04,0.944,
2004-07,0.939,
2004-10,0.918,
2005-01,0.899,
2005-04,0.930,
2005-07,0.964,
2005-10,0.988,
2006-01,1.028,
2006-04,1.104,
2006-07,1.146,
2006-10,1.129,
2007-01,1.152,
2007-04,1.149,
2007-07,1.198,
2007-10,1.266,
2008-01,1.220,
2008-04,1.215,
2008-07,1.200,
2008-10,1.229,
2009-01,1.234,
2009-04,1.221,
2009-07,1.231,
2009-10,1.250,
2010-01,1.323,
2010-04,1.323,
2010-07,1.310,
2010-10,1.291,
2011-01,1.288,
2011-04,1.348,
2011-07,1.530,
2011-10,1.854,
2012-01,2.001,
2012-04,2.183,
2012-07,2.318,
2012-10,2.505,
2013-01,2.548,
2013-04,2.499,
2013-07,2.567,
2013-10,2.734,
2014-01,2.693,
2014-04,2.765,
2014-07,2.717,
