"",BBK01.OEXJ03T,BBK01.OEXJ03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:39,
2002-01,0.290,
2002-04,0.294,
2002-07,0.278,
2002-10,0.266,
2003-01,0.249,
2003-04,0.234,
2003-07,0.204,
2003-10,0.239,
2004-01,0.211,
2004-04,0.208,
2004-07,0.182,
2004-10,0.190,
2005-01,0.171,
2005-04,0.167,
2005-07,0.185,
2005-10,0.185,
2006-01,0.203,
2006-04,0.206,
2006-07,0.222,
2006-10,0.265,
2007-01,0.338,
2007-04,0.342,
2007-07,0.401,
2007-10,0.444,
2008-01,0.512,
2008-04,0.532,
2008-07,0.585,
2008-10,0.472,
2009-01,0.198,
2009-04,0.129,
2009-07,0.101,
2009-10,0.073,
2010-01,0.076,
2010-04,0.076,
2010-07,0.075,
2010-10,0.144,
2011-01,0.087,
2011-04,0.115,
2011-07,0.184,
2011-10,0.436,
2012-01,0.547,
2012-04,0.562,
2012-07,0.596,
2012-10,0.603,
2013-01,0.604,
2013-04,0.583,
2013-07,0.570,
2013-10,0.520,
2014-01,0.469,
2014-04,0.569,
2014-07,0.516,
