"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.SI.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.SI.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Slovenia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:25,
2009-09,370,
2009-10,369,
2009-11,365,
2009-12,398,
2010-01,528,
2010-02,496,
2010-03,609,
2010-04,670,
2010-05,680,
2010-06,672,
2010-07,674,
2010-08,687,
2010-09,684,
2010-10,682,
2010-11,667,
2010-12,644,
2011-01,668,
2011-02,671,
2011-03,780,
2011-04,774,
2011-05,762,
2011-06,731,
2011-07,678,
2011-08,661,
2011-09,653,
2011-10,639,
2011-11,591,
2011-12,606,
2012-01,623,
2012-02,636,
2012-03,644,
2012-04,646,
2012-05,655,
2012-06,638,
2012-07,567,
2012-08,520,
2012-09,517,
2012-10,552,
2012-11,539,
2012-12,690,
2013-01,711,
2013-02,692,
2013-03,577,
2013-04,646,
2013-05,621,
2013-06,594,
2013-07,610,
2013-08,599,
2013-09,565,
2013-10,612,
2013-11,709,
2013-12,799,
2014-01,880,
2014-02,1177,
2014-03,1380,
2014-04,1402,
2014-05,1405,
2014-06,1447,
2014-07,1378,
2014-08,1392,
2014-09,1402,
2014-10,1489,
2014-11,1549,
