"",BBK01.OELB23N,BBK01.OELB23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:25,
2002-01,0.031,
2002-04,0.042,
2002-07,0.047,
2002-10,0.047,
2003-01,0.066,
2003-04,0.069,
2003-07,0.057,
2003-10,0.106,
2004-01,0.100,
2004-04,0.100,
2004-07,0.110,
2004-10,0.124,
2005-01,0.107,
2005-04,0.107,
2005-07,0.115,
2005-10,0.118,
2006-01,0.108,
2006-04,0.097,
2006-07,0.105,
2006-10,0.116,
2007-01,0.102,
2007-04,0.124,
2007-07,0.119,
2007-10,0.128,
2008-01,0.111,
2008-04,0.106,
2008-07,0.096,
2008-10,0.087,
2009-01,0.077,
2009-04,0.094,
2009-07,0.086,
2009-10,0.087,
2010-01,0.163,
2010-04,0.115,
2010-07,0.165,
2010-10,0.158,
2011-01,0.199,
2011-04,0.185,
2011-07,0.164,
2011-10,0.123,
2012-01,0.135,
2012-04,0.130,
2012-07,0.111,
2012-10,0.111,
2013-01,0.094,
2013-04,0.091,
2013-07,0.092,
2013-10,0.094,
2014-01,0.080,
2014-04,0.076,
2014-07,0.074,
