"",BBK01.OELB19G,BBK01.OELB19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:19,
2002-01,4.035,
2002-04,3.948,
2002-07,3.870,
2002-10,3.738,
2003-01,3.591,
2003-04,3.448,
2003-07,3.333,
2003-10,3.218,
2004-01,3.097,
2004-04,3.031,
2004-07,2.988,
2004-10,2.890,
2005-01,2.804,
2005-04,2.764,
2005-07,2.728,
2005-10,2.661,
2006-01,2.591,
2006-04,2.559,
2006-07,2.518,
2006-10,2.443,
2007-01,2.377,
2007-04,2.338,
2007-07,2.300,
2007-10,2.234,
2008-01,2.173,
2008-04,2.145,
2008-07,2.109,
2008-10,2.034,
2009-01,1.987,
2009-04,1.961,
2009-07,1.957,
2009-10,1.932,
2010-01,1.907,
2010-04,1.906,
2010-07,1.932,
2010-10,1.946,
2011-01,1.964,
2011-04,2.020,
2011-07,2.063,
2011-10,2.073,
2012-01,2.086,
2012-04,2.132,
2012-07,2.168,
2012-10,2.158,
2013-01,2.164,
2013-04,2.176,
2013-07,2.210,
2013-10,2.187,
2014-01,2.177,
2014-04,2.150,
2014-07,2.161,
