"",BBEX3.A.BHD.USD.CA.AB.A04,BBEX3.A.BHD.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Bahrain / USD 1 = BHD ... (selling),
unit,BHD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:12:57,
1996,0.37800,
1997,0.37800,
1998,0.37800,
1999,0.37800,
2000,0.37800,
2001,0.37800,
2002,0.37800,
2003,0.37800,
2004,0.37800,
2005,0.37800,
2006,0.37800,
2007,0.37800,
2008,0.37800,
2009,0.37750,
2010,0.37750,
2011,0.37750,
2012,0.37750,
2013,0.37750,
2014,0.37750,
"",General: The Bahraini dinar is pegged to the US dollar.,
"","Source: Since 2009: National Bank of Bahrain, Manama. 1996 - 2008: The British Bank of the Middle East, Manama.",
"",Methodology: Calculated on the basis of month-end rates.,
