"",BBFB1.Q.N.DE.B5.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:20,
1991-01,6220.632,
1991-04,6846.170,
1991-07,7404.255,
1991-10,7059.155,
1992-01,6606.988,
1992-04,7058.774,
1992-07,7357.079,
1992-10,7718.033,
1993-01,6797.760,
1993-04,7115.161,
1993-07,7611.635,
1993-10,7602.199,
1994-01,7216.021,
1994-04,7120.151,
1994-07,7615.953,
1994-10,7375.429,
1995-01,7970.974,
1995-04,7742.494,
1995-07,8474.573,
1995-10,8638.795,
1996-01,8005.383,
1996-04,8205.072,
1996-07,8832.467,
1996-10,8937.511,
1997-01,8716.495,
1997-04,9152.571,
1997-07,10095.100,
1997-10,10238.513,
1998-01,9866.133,
1998-04,10383.035,
1998-07,11115.109,
1998-10,11037.069,
1999-01,9463.874,
1999-04,11055.894,
1999-07,11780.597,
1999-10,12021.430,
2000-01,11597.941,
2000-04,12396.480,
2000-07,12489.130,
2000-10,13585.077,
2001-01,12034.963,
2001-04,13176.417,
2001-07,13541.896,
2001-10,14871.127,
2002-01,13481.321,
2002-04,14695.368,
2002-07,15642.163,
2002-10,16797.707,
2003-01,13215.163,
2003-04,14167.538,
2003-07,14557.560,
2003-10,16040.398,
2004-01,14849.504,
2004-04,16407.437,
2004-07,16811.155,
2004-10,18282.918,
2005-01,15538.510,
2005-04,16930.527,
2005-07,17950.451,
2005-10,19621.895,
2006-01,18041.136,
2006-04,19946.497,
2006-07,20592.726,
2006-10,22602.462,
2007-01,18942.963,
2007-04,20235.261,
2007-07,21060.371,
2007-10,22684.938,
2008-01,20248.052,
2008-04,21596.678,
2008-07,22505.448,
2008-10,24280.675,
2009-01,19824.073,
2009-04,20408.261,
2009-07,21464.257,
2009-10,23581.532,
2010-01,19761.185,
2010-04,21468.531,
2010-07,22976.130,
2010-10,24036.362,
2011-01,21274.918,
2011-04,21986.848,
2011-07,23620.840,
2011-10,25698.037,
2012-01,22366.696,
2012-04,23168.814,
2012-07,24654.466,
2012-10,25386.162,
2013-01,22336.151,
2013-04,23727.587,
2013-07,25534.181,
2013-10,27311.043,
2014-01,23589.813,Provisional value
2014-04,24960.660,Provisional value
2014-07,26645.123,Provisional value
