"",BBFN1.M.DE.N.1.L.SG.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SG.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:15,
1994-07,0.259,
1994-08,0.341,
1994-09,0.397,
1994-10,0.440,
1994-11,0.356,
1994-12,0.393,
1995-01,0.333,
1995-02,0.298,
1995-03,0.368,
1995-04,0.370,
1995-05,0.351,
1995-06,0.364,
1995-07,0.379,
1995-08,0.420,
1995-09,0.403,
1995-10,0.443,
1995-11,0.459,
1995-12,0.488,
1996-01,0.518,
1996-02,0.513,
1996-03,0.290,
1996-04,0.286,
1996-05,0.287,
1996-06,0.275,
1996-07,0.267,
1996-08,0.334,
1996-09,0.316,
1996-10,0.311,
1996-11,0.332,
1996-12,0.365,
1997-01,0.337,
1997-02,0.309,
1997-03,0.370,
1997-04,0.414,
1997-05,0.402,
1997-06,0.436,
1997-07,0.377,
1997-08,0.367,
1997-09,0.410,
1997-10,0.435,
1997-11,0.448,
1997-12,0.474,
1998-01,0.473,
1998-02,0.400,
1998-03,0.404,
1998-04,0.401,
1998-05,0.403,
1998-06,0.407,
1998-07,0.342,
1998-08,0.330,
1998-09,0.371,
1998-10,0.394,
1998-11,0.415,
1998-12,0.373,
1999-01,0.331,
1999-02,0.331,
1999-03,0.327,
1999-04,0.318,
1999-05,0.335,
1999-06,0.314,
1999-07,0.325,
1999-08,0.338,
1999-09,0.339,
1999-10,0.303,
1999-11,0.397,
1999-12,0.398,
2000-01,0.455,
2000-02,0.413,
2000-03,0.424,
2000-04,0.447,
2000-05,0.473,
2000-06,0.508,
2000-07,0.492,
2000-08,0.533,
2000-09,0.636,
2000-10,0.611,
2000-11,0.588,
2000-12,0.665,
2001-01,0.600,
2001-02,0.596,
2001-03,0.597,
2001-04,0.642,
2001-05,0.564,
2001-06,0.526,
2001-07,0.517,
2001-08,0.478,
2001-09,0.493,
2001-10,0.514,
2001-11,0.490,
2001-12,0.504,
2002-01,0.445,
2002-02,0.445,
2002-03,0.542,
2002-04,0.529,
2002-05,0.422,
2002-06,0.518,
2002-07,0.515,
2002-08,0.501,
2002-09,0.554,
2002-10,0.512,
2002-11,0.524,
2002-12,0.551,
2003-01,0.478,
2003-02,0.440,
2003-03,0.489,
2003-04,0.474,
2003-05,0.442,
2003-06,0.445,
2003-07,0.388,
2003-08,0.414,
2003-09,0.476,
2003-10,0.425,
2003-11,0.473,
2003-12,0.570,
2004-01,0.370,
2004-02,0.383,
2004-03,0.527,
2004-04,0.506,
2004-05,0.541,
2004-06,0.710,
2004-07,0.731,
2004-08,0.427,
2004-09,0.594,
2004-10,0.541,
2004-11,0.620,
2004-12,0.643,
2005-01,0.477,
2005-02,0.519,
2005-03,0.593,
2005-04,0.578,
2005-05,0.624,
2005-06,0.561,
2005-07,0.541,
2005-08,0.553,
2005-09,0.585,
2005-10,0.539,
2005-11,0.570,
2005-12,0.631,
2006-01,0.616,
2006-02,0.551,
2006-03,0.644,
2006-04,0.564,
2006-05,0.686,
2006-06,0.739,
2006-07,0.609,
2006-08,0.631,
2006-09,0.674,
2006-10,0.639,
2006-11,0.608,
2006-12,0.621,
2007-01,0.616,
2007-02,0.602,
2007-03,0.632,
2007-04,0.597,
2007-05,0.627,
2007-06,0.707,
2007-07,0.627,
2007-08,0.644,
2007-09,0.718,
2007-10,0.646,
2007-11,0.693,
2007-12,0.774,
2008-01,0.636,
2008-02,0.643,
2008-03,0.697,
2008-04,0.659,
2008-05,0.630,
2008-06,0.714,
2008-07,0.695,
2008-08,0.766,
2008-09,0.840,
2008-10,0.913,
2008-11,0.799,
2008-12,0.775,
2009-01,0.649,
2009-02,0.580,
2009-03,0.560,
2009-04,0.508,
2009-05,0.550,
2009-06,0.589,
2009-07,0.570,
2009-08,0.604,
2009-09,0.613,
2009-10,0.628,
2009-11,0.636,
2009-12,0.710,
2010-01,0.674,
2010-02,0.684,
2010-03,0.693,
2010-04,0.801,
2010-05,0.815,
2010-06,0.926,
2010-07,0.925,
2010-08,0.944,
2010-09,1.110,
2010-10,1.142,
2010-11,1.104,
2010-12,1.251,
2011-01,1.114,
2011-02,1.032,
2011-03,1.137,
2011-04,1.073,
2011-05,1.150,
2011-06,1.182,
2011-07,1.172,
2011-08,1.153,
2011-09,1.218,
2011-10,1.026,
2011-11,1.072,
2011-12,1.109,
2012-01,1.046,
2012-02,0.999,
2012-03,1.085,
2012-04,0.985,
2012-05,1.029,
2012-06,1.052,
2012-07,1.010,
2012-08,1.065,
2012-09,1.238,
2012-10,1.086,
2012-11,1.239,
2012-12,1.300,
2013-01,1.183,
2013-02,1.201,
2013-03,1.321,
2013-04,1.149,
2013-05,1.063,
2013-06,1.144,
2013-07,1.161,
2013-08,1.205,
2013-09,1.246,
2013-10,1.300,
2013-11,1.256,
2013-12,1.295,
2014-01,1.219,
2014-02,1.142,
2014-03,1.228,
2014-04,1.171,
2014-05,1.159,
2014-06,1.293,
2014-07,1.259,
2014-08,1.249,
2014-09,1.396,
2014-10,1.379,
2014-11,1.335,
2014-12,1.523,
