"",BBDE1.M.DE.W.AEB5.A2P330000.F.V.I10.A,BBDE1.M.DE.W.AEB5.A2P330000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / Durable goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:17,
1991-01,72.7,
1991-02,114.9,
1991-03,70.0,
1991-04,65.6,
1991-05,59.8,
1991-06,82.3,
1991-07,55.6,
1991-08,51.1,
1991-09,69.8,
1991-10,71.8,
1991-11,72.6,
1991-12,62.9,
1992-01,68.6,
1992-02,66.2,
1992-03,67.4,
1992-04,62.2,
1992-05,60.8,
1992-06,62.9,
1992-07,55.0,
1992-08,50.6,
1992-09,69.1,
1992-10,70.9,
1992-11,71.4,
1992-12,71.7,
1993-01,53.9,
1993-02,55.8,
1993-03,54.5,
1993-04,51.9,
1993-05,72.0,
1993-06,56.0,
1993-07,46.2,
1993-08,47.6,
1993-09,61.8,
1993-10,60.5,
1993-11,58.8,
1993-12,78.4,
1994-01,55.0,
1994-02,56.5,
1994-03,63.0,
1994-04,89.3,
1994-05,60.3,
1994-06,65.5,
1994-07,52.7,
1994-08,51.5,
1994-09,71.7,
1994-10,73.5,
1994-11,91.7,
1994-12,61.9,
1995-01,60.7,
1995-02,64.2,
1995-03,62.2,
1995-04,74.2,
1995-05,70.0,
1995-06,71.4,
1995-07,66.0,
1995-08,59.0,
1995-09,83.5,
1995-10,78.4,
1995-11,82.3,
1995-12,74.2,
1996-01,58.1,
1996-02,60.3,
1996-03,65.1,
1996-04,63.1,
1996-05,63.2,
1996-06,63.6,
1996-07,58.7,
1996-08,52.6,
1996-09,68.7,
1996-10,63.5,
1996-11,68.3,
1996-12,59.8,
1997-01,65.3,
1997-02,64.7,
1997-03,70.9,
1997-04,64.5,
1997-05,64.7,
1997-06,69.4,
1997-07,70.5,
1997-08,60.9,
1997-09,79.4,
1997-10,77.9,
1997-11,73.6,
1997-12,70.8,
1998-01,70.3,
1998-02,73.2,
1998-03,79.9,
1998-04,71.3,
1998-05,67.1,
1998-06,74.5,
1998-07,73.5,
1998-08,60.4,
1998-09,77.0,
1998-10,74.3,
1998-11,72.4,
1998-12,65.9,
1999-01,63.8,
1999-02,66.0,
1999-03,75.0,
1999-04,69.5,
1999-05,69.3,
1999-06,80.8,
1999-07,78.2,
1999-08,65.8,
1999-09,84.1,
1999-10,82.4,
1999-11,86.5,
1999-12,75.0,
2000-01,77.3,
2000-02,78.7,
2000-03,93.6,
2000-04,88.6,
2000-05,84.5,
2000-06,92.4,
2000-07,87.6,
2000-08,78.7,
2000-09,92.5,
2000-10,97.8,
2000-11,101.3,
2000-12,86.9,
2001-01,93.2,
2001-02,93.7,
2001-03,98.2,
2001-04,88.5,
2001-05,87.8,
2001-06,93.3,
2001-07,91.2,
2001-08,81.0,
2001-09,101.1,
2001-10,98.3,
2001-11,93.3,
2001-12,79.9,
2002-01,93.6,
2002-02,93.4,
2002-03,103.4,
2002-04,92.2,
2002-05,88.2,
2002-06,98.7,
2002-07,88.6,
2002-08,80.4,
2002-09,104.4,
2002-10,103.8,
2002-11,103.2,
2002-12,86.5,
2003-01,85.4,
2003-02,87.5,
2003-03,96.5,
2003-04,83.1,
2003-05,83.6,
2003-06,90.6,
2003-07,92.2,
2003-08,73.9,
2003-09,105.3,
2003-10,101.8,
2003-11,99.4,
2003-12,87.7,
2004-01,87.5,
2004-02,89.7,
2004-03,97.9,
2004-04,91.5,
2004-05,92.7,
2004-06,96.1,
2004-07,96.0,
2004-08,69.2,
2004-09,99.6,
2004-10,97.5,
2004-11,90.1,
2004-12,79.8,
2005-01,84.5,
2005-02,87.4,
2005-03,97.0,
2005-04,87.1,
2005-05,85.7,
2005-06,94.5,
2005-07,87.1,
2005-08,76.7,
2005-09,102.7,
2005-10,100.2,
2005-11,101.1,
2005-12,87.5,
2006-01,89.8,
2006-02,91.0,
2006-03,105.4,
2006-04,94.3,
2006-05,95.7,
2006-06,96.7,
2006-07,97.1,
2006-08,86.2,
2006-09,105.9,
2006-10,106.6,
2006-11,103.8,
2006-12,85.5,
2007-01,90.7,
2007-02,95.1,
2007-03,103.3,
2007-04,95.2,
2007-05,96.0,
2007-06,102.5,
2007-07,95.3,
2007-08,88.9,
2007-09,109.3,
2007-10,155.4,
2007-11,99.5,
2007-12,84.8,
2008-01,90.1,
2008-02,89.3,
2008-03,103.2,
2008-04,93.9,
2008-05,91.9,
2008-06,97.1,
2008-07,85.3,
2008-08,87.6,
2008-09,99.7,
2008-10,97.3,
2008-11,87.6,
2008-12,71.9,
2009-01,72.5,
2009-02,70.9,
2009-03,80.4,
2009-04,73.9,
2009-05,75.2,
2009-06,81.8,
2009-07,79.1,
2009-08,63.8,
2009-09,90.7,
2009-10,89.7,
2009-11,92.5,
2009-12,83.4,
2010-01,89.4,
2010-02,91.6,
2010-03,104.4,
2010-04,100.1,
2010-05,101.8,
2010-06,111.4,
2010-07,103.2,
2010-08,84.2,
2010-09,104.2,
2010-10,109.1,
2010-11,106.1,
2010-12,89.0,
2011-01,106.1,
2011-02,100.6,
2011-03,113.3,
2011-04,103.4,
2011-05,98.3,
2011-06,104.3,
2011-07,106.4,
2011-08,84.6,
2011-09,107.6,
2011-10,102.9,
2011-11,97.4,
2011-12,87.0,
2012-01,94.2,
2012-02,88.4,
2012-03,108.4,
2012-04,97.6,
2012-05,101.3,
2012-06,106.1,
2012-07,101.5,
2012-08,89.2,
2012-09,108.6,
2012-10,94.1,
2012-11,92.9,
2012-12,85.8,
2013-01,94.1,
2013-02,90.1,
2013-03,108.5,
2013-04,99.5,
2013-05,101.0,
2013-06,113.0,
2013-07,99.1,
2013-08,90.6,
2013-09,109.6,
2013-10,103.6,
2013-11,106.6,
2013-12,94.6,
2014-01,99.2,
2014-02,95.6,
2014-03,112.5,
2014-04,108.9,
2014-05,102.1,
2014-06,104.0,
2014-07,94.6,
2014-08,93.3,
2014-09,105.2,
2014-10,105.5,
2014-11,104.6,
2014-12,101.0,Provisional value
