"",BBFN1.M.DE.N.1.A.JP.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.JP.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:45,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,1.454,
1995-01,1.424,
1995-02,1.431,
1995-03,1.416,
1995-04,1.435,
1995-05,1.385,
1995-06,1.485,
1995-07,1.452,
1995-08,1.468,
1995-09,1.535,
1995-10,1.527,
1995-11,1.435,
1995-12,1.430,
1996-01,1.456,
1996-02,1.406,
1996-03,1.490,
1996-04,1.421,
1996-05,1.523,
1996-06,1.542,
1996-07,1.619,
1996-08,1.583,
1996-09,1.597,
1996-10,1.572,
1996-11,1.605,
1996-12,1.682,
1997-01,1.767,
1997-02,1.618,
1997-03,1.734,
1997-04,1.632,
1997-05,1.528,
1997-06,1.610,
1997-07,1.649,
1997-08,1.608,
1997-09,1.656,
1997-10,1.661,
1997-11,1.578,
1997-12,1.638,
1998-01,1.696,
1998-02,1.639,
1998-03,1.628,
1998-04,1.597,
1998-05,1.477,
1998-06,1.470,
1998-07,1.554,
1998-08,1.439,
1998-09,1.428,
1998-10,1.510,
1998-11,1.596,
1998-12,1.523,
1999-01,1.495,
1999-02,1.515,
1999-03,1.612,
1999-04,1.476,
1999-05,1.435,
1999-06,1.542,
1999-07,1.498,
1999-08,1.538,
1999-09,1.694,
1999-10,1.893,
1999-11,1.883,
1999-12,1.725,
2000-01,1.776,
2000-02,1.914,
2000-03,2.008,
2000-04,1.923,
2000-05,1.797,
2000-06,1.853,
2000-07,1.988,
2000-08,1.949,
2000-09,1.988,
2000-10,2.123,
2000-11,2.078,
2000-12,2.041,
2001-01,1.989,
2001-02,2.082,
2001-03,2.137,
2001-04,2.014,
2001-05,2.006,
2001-06,2.010,
2001-07,2.160,
2001-08,1.972,
2001-09,1.915,
2001-10,2.020,
2001-11,1.934,
2001-12,1.894,
2002-01,1.946,
2002-02,1.879,
2002-03,1.948,
2002-04,1.970,
2002-05,1.888,
2002-06,1.952,
2002-07,2.100,
2002-08,1.980,
2002-09,2.096,
2002-10,2.037,
2002-11,2.092,
2002-12,1.998,
2003-01,1.888,
2003-02,1.853,
2003-03,2.002,
2003-04,1.855,
2003-05,1.704,
2003-06,1.723,
2003-07,1.851,
2003-08,1.731,
2003-09,1.862,
2003-10,1.936,
2003-11,1.929,
2003-12,2.006,
2004-01,1.952,
2004-02,1.927,
2004-03,1.981,
2004-04,1.889,
2004-05,1.806,
2004-06,1.920,
2004-07,1.896,
2004-08,1.895,
2004-09,1.933,
2004-10,1.892,
2004-11,1.817,
2004-12,1.938,
2005-01,1.958,
2005-02,2.018,
2005-03,2.070,
2005-04,2.127,
2005-05,1.732,
2005-06,1.935,
2005-07,1.913,
2005-08,1.833,
2005-09,1.918,
2005-10,2.021,
2005-11,1.936,
2005-12,2.061,
2006-01,2.002,
2006-02,1.972,
2006-03,2.172,
2006-04,1.847,
2006-05,1.910,
2006-06,1.941,
2006-07,1.960,
2006-08,2.034,
2006-09,2.136,
2006-10,2.206,
2006-11,2.115,
2006-12,1.990,
2007-01,2.022,
2007-02,2.002,
2007-03,2.058,
2007-04,1.899,
2007-05,1.892,
2007-06,2.058,
2007-07,2.085,
2007-08,1.893,
2007-09,2.066,
2007-10,2.066,
2007-11,2.018,
2007-12,1.914,
2008-01,2.046,
2008-02,2.031,
2008-03,2.066,
2008-04,1.938,
2008-05,1.852,
2008-06,1.902,
2008-07,1.914,
2008-08,1.858,
2008-09,1.984,
2008-10,2.000,
2008-11,1.942,
2008-12,1.930,
2009-01,1.742,
2009-02,1.633,
2009-03,1.838,
2009-04,1.545,
2009-05,1.475,
2009-06,1.554,
2009-07,1.683,
2009-08,1.559,
2009-09,1.706,
2009-10,1.735,
2009-11,1.684,
2009-12,1.819,
2010-01,1.691,
2010-02,1.747,
2010-03,1.895,
2010-04,1.851,
2010-05,1.930,
2010-06,2.081,
2010-07,2.067,
2010-08,1.919,
2010-09,2.029,
2010-10,2.148,
2010-11,2.075,
2010-12,2.158,
2011-01,2.053,
2011-02,2.140,
2011-03,2.110,
2011-04,2.016,
2011-05,2.004,
2011-06,2.033,
2011-07,1.990,
2011-08,1.925,
2011-09,2.308,
2011-10,2.247,
2011-11,2.216,
2011-12,2.306,
2012-01,2.167,
2012-02,2.075,
2012-03,2.302,
2012-04,2.211,
2012-05,2.194,
2012-06,2.386,
2012-07,2.445,
2012-08,2.407,
2012-09,2.415,
2012-10,2.443,
2012-11,2.363,
2012-12,2.407,
2013-01,2.085,
2013-02,2.105,
2013-03,2.324,
2013-04,2.209,
2013-05,2.027,
2013-06,2.229,
2013-07,2.283,
2013-08,2.403,
2013-09,2.428,
2013-10,2.499,
2013-11,2.572,
2013-12,2.481,
2014-01,2.444,
2014-02,2.393,
2014-03,2.415,
2014-04,2.371,
2014-05,2.255,
2014-06,2.338,
2014-07,2.486,
2014-08,2.469,
2014-09,2.648,
2014-10,2.823,
2014-11,2.570,
2014-12,2.725,
