"",BBK01.OELL09L,BBK01.OELL09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:34,
2002-01,2.558,
2002-04,2.518,
2002-07,2.522,
2002-10,2.605,
2003-01,2.641,
2003-04,2.582,
2003-07,2.569,
2003-10,2.782,
2004-01,3.021,
2004-04,2.982,
2004-07,2.993,
2004-10,2.997,
2005-01,2.846,
2005-04,2.654,
2005-07,2.576,
2005-10,2.458,
2006-01,2.448,
2006-04,2.534,
2006-07,2.685,
2006-10,2.840,
2007-01,2.932,
2007-04,2.943,
2007-07,2.971,
2007-10,2.864,
2008-01,2.535,
2008-04,2.186,
2008-07,1.891,
2008-10,1.895,
2009-01,2.232,
2009-04,2.599,
2009-07,2.949,
2009-10,3.408,
2010-01,3.608,
2010-04,3.219,
2010-07,2.863,
2010-10,2.571,
2011-01,2.341,
2011-04,2.160,
2011-07,2.040,
2011-10,1.967,
2012-01,1.862,
2012-04,1.761,
2012-07,1.645,
2012-10,1.668,
2013-01,1.670,
2013-04,1.635,
2013-07,1.579,
2013-10,1.543,
2014-01,1.543,
2014-04,1.518,
2014-07,1.491,
