"",BBK01.OELL05M,BBK01.OELL05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:07,
2002-01,0.459,
2002-04,0.472,
2002-07,0.491,
2002-10,0.512,
2003-01,0.512,
2003-04,0.504,
2003-07,0.502,
2003-10,0.525,
2004-01,0.532,
2004-04,0.526,
2004-07,0.534,
2004-10,0.558,
2005-01,0.705,
2005-04,0.690,
2005-07,0.659,
2005-10,0.657,
2006-01,0.702,
2006-04,0.698,
2006-07,0.697,
2006-10,0.686,
2007-01,0.676,
2007-04,0.671,
2007-07,0.663,
2007-10,0.636,
2008-01,0.500,
2008-04,0.487,
2008-07,0.455,
2008-10,0.455,
2009-01,0.388,
2009-04,0.381,
2009-07,0.406,
2009-10,0.429,
2010-01,0.466,
2010-04,0.481,
2010-07,0.487,
2010-10,0.497,
2011-01,0.519,
2011-04,0.551,
2011-07,0.562,
2011-10,0.563,
2012-01,0.554,
2012-04,0.551,
2012-07,0.545,
2012-10,0.529,
2013-01,0.517,
2013-04,0.516,
2013-07,0.530,
2013-10,0.541,
2014-01,0.564,
2014-04,0.574,
2014-07,0.542,
