"",BBK01.OEXL07L,BBK01.OEXL07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:28,
2002-01,2.699,
2002-04,2.773,
2002-07,3.736,
2002-10,4.506,
2003-01,4.960,
2003-04,4.958,
2003-07,4.906,
2003-10,4.870,
2004-01,4.860,
2004-04,4.789,
2004-07,4.800,
2004-10,4.818,
2005-01,4.859,
2005-04,4.847,
2005-07,4.740,
2005-10,4.804,
2006-01,4.833,
2006-04,4.924,
2006-07,5.074,
2006-10,5.158,
2007-01,5.334,
2007-04,5.147,
2007-07,4.519,
2007-10,4.064,
2008-01,3.703,
2008-04,3.625,
2008-07,3.694,
2008-10,4.197,
2009-01,4.407,
2009-04,4.581,
2009-07,5.481,
2009-10,5.304,
2010-01,5.071,
2010-04,4.221,
2010-07,4.227,
2010-10,4.955,
2011-01,5.141,
2011-04,4.173,
2011-07,4.124,
2011-10,4.099,
2012-01,3.926,
2012-04,3.937,
2012-07,3.843,
2012-10,3.671,
2013-01,3.607,
2013-04,3.622,
2013-07,3.772,
2013-10,3.921,
2014-01,3.955,
2014-04,4.011,
2014-07,4.288,
