"",BBEX3.M.EGP.EUR.CA.AA.A01,BBEX3.M.EGP.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Egypt / EUR 1 = EGP ... (buying),
unit,EGP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:10,
1999-01,3.8639,comment
1999-02,3.7294,
1999-03,3.6336,
1999-04,3.5997,
1999-05,3.5463,
1999-06,3.5080,
1999-07,3.6138,
1999-08,3.5507,
1999-09,3.6056,
1999-10,3.6257,
1999-11,3.4215,
1999-12,3.4204,
2000-01,3.3400,
2000-02,3.3045,
2000-03,3.2583,
2000-04,3.1461,
2000-05,3.1855,
2000-06,3.2549,
2000-07,3.2027,
2000-08,3.1090,
2000-09,3.1242,
2000-10,3.0964,
2000-11,3.2910,
2000-12,3.5556,
2001-01,3.5238,
2001-02,3.5058,
2001-03,3.3992,
2001-04,3.4088,
2001-05,3.2624,
2001-06,3.2996,
2001-07,3.4146,
2001-08,3.8426,
2001-09,3.8428,
2001-10,3.8366,
2001-11,3.7577,
2001-12,3.9835,
2002-01,3.9067,
2002-02,3.9417,
2002-03,3.9836,
2002-04,4.1191,
2002-05,4.2700,
2002-06,4.5148,
2002-07,4.4829,
2002-08,4.4788,
2002-09,4.4811,
2002-10,4.5021,
2002-11,4.5387,
2002-12,4.8120,
2003-01,5.7507,comment
2003-02,6.0003,
2003-03,6.1815,
2003-04,6.4977,
2003-05,6.9667,
2003-06,6.8499,
2003-07,6.8971,
2003-08,6.7303,
2003-09,7.0921,
2003-10,7.1116,
2003-11,7.3211,
2003-12,7.6847,
2004-01,7.6656,
2004-02,7.6888,
2004-03,7.5789,
2004-04,7.2892,
2004-05,7.5365,
2004-06,7.4576,
2004-07,7.4390,
2004-08,7.4447,
2004-09,7.6436,
2004-10,7.9462,
2004-11,8.1960,
2004-12,8.2508,
2005-01,7.5457,
2005-02,7.6557,
2005-03,7.4584,
2005-04,7.4498,
2005-05,7.1515,
2005-06,6.9726,
2005-07,7.0050,
2005-08,7.0198,
2005-09,6.9245,
2005-10,6.9249,
2005-11,6.7659,
2005-12,6.7791,
2006-01,6.9043,
2006-02,6.7737,
2006-03,6.8952,
2006-04,7.2336,
2006-05,7.3898,
2006-06,7.1969,
2006-07,7.2969,
2006-08,7.3432,
2006-09,7.2713,
2006-10,7.2584,
2006-11,7.5097,
2006-12,7.4779,
2007-01,7.3536,
2007-02,7.4756,
2007-03,7.5578,
2007-04,7.7100,
2007-05,7.6220,
2007-06,7.6379,
2007-07,7.7018,
2007-08,7.6844,
2007-09,7.9387,
2007-10,7.9297,
2007-11,8.1506,
2007-12,8.0716,
2008-01,8.2018,
2008-02,8.2478,
2008-03,8.5676,
2008-04,8.3451,
2008-05,8.2936,
2008-06,8.3836,
2008-07,8.2287,
2008-08,7.8453,
2008-09,7.8100,
2008-10,7.1446,
2008-11,6.9675,
2008-12,7.7261,
2009-01,7.1321,
2009-02,7.0713,
2009-03,7.4720,
2009-04,7.4480,
2009-05,7.9198,
2009-06,7.8661,
2009-07,7.7912,
2009-08,7.8588,
2009-09,8.0079,
2009-10,8.0276,
2009-11,8.1635,
2009-12,7.8865,
2010-01,7.5844,
2010-02,7.4434,
2010-03,7.3481,
2010-04,7.3526,
2010-05,6.9324,
2010-06,6.9229,
2010-07,7.4234,
2010-08,7.1776,
2010-09,7.7060,
2010-10,8.0547,
2010-11,7.5199,
2010-12,7.7079,
2011-01,7.9759,
2011-02,8.1017,
2011-03,8.4046,
2011-04,8.7533,
2011-05,8.5088,
2011-06,8.6184,
2011-07,8.5368,
2011-08,8.5449,
2011-09,8.0461,
2011-10,8.3439,
2011-11,7.9622,
2011-12,7.7732,
2012-01,7.9133,
2012-02,8.0731,
2012-03,8.0171,
2012-04,7.9720,
2012-05,7.4599,
2012-06,7.6199,
2012-07,7.4030,
2012-08,7.5945,
2012-09,7.7876,
2012-10,7.9063,
2012-11,7.9218,
2012-12,8.3416,
2013-01,9.0728,
2013-02,8.8071,
2013-03,8.6864,
2013-04,9.0552,
2013-05,9.0589,
2013-06,9.0918,
2013-07,9.2533,
2013-08,9.2258,
2013-09,9.2628,
2013-10,9.3434,
2013-11,9.3305,
2013-12,9.5611,
2014-01,9.4454,
2014-02,9.4970,
2014-03,9.5704,
2014-04,9.6549,
2014-05,9.7151,
2014-06,9.7533,
2014-07,9.5616,
2014-08,9.4179,
2014-09,8.9889,
2014-10,8.9718,
2014-11,8.9131,
2014-12,8.6836,
2015-01,8.5373,
"","Source: National Bank of Egypt, Cairo.",
"",Comment on 1999-01: Euro exchange rates are available from 28 February 1999 onwards; the comparative rate was calculated using D-Mark exchange rates in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"",Comment on 2003-01: Exchange rate floated as from 29 January 2003.,
