"",BBK01.QUA521,BBK01.QUA521_FLAGS
"","All foreign subsidiaries: Liabilities to non-residents, total / Slovakia / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:23,
2005-12,0.830,
2006-01,0.904,
2006-02,0.884,
2006-03,0.834,
2006-04,0.865,
2006-05,0.861,
2006-06,0.832,
2006-07,0.856,
2006-08,1.060,
2006-09,0.905,
2006-10,1.059,
2006-11,1.116,
2006-12,1.144,
2007-01,0.006,
2007-02,0.008,
2007-03,0.008,
2007-04,0.010,
2007-05,0.007,
2007-06,0.006,
2007-07,0.011,
2007-08,0.018,
2007-09,0.015,
2007-10,0.014,
2007-11,0.010,
2007-12,0.010,
2008-01,0.029,
2008-02,0.049,
2008-03,0.069,
2008-04,0.096,
2008-05,0.113,
2008-06,0.131,
2008-07,0.151,
2008-08,0.161,
2008-09,0.186,
2008-10,0.173,
2008-11,0.173,
2008-12,0.203,
2009-01,0.220,
2009-02,0.226,
2009-03,0.224,
2009-04,0.244,
2009-05,0.237,
2009-06,0.242,
2009-07,0.271,
2009-08,0.278,
2009-09,0.277,
2009-10,0.281,
2009-11,0.288,
2009-12,0.299,
2010-01,0.325,
2010-02,0.347,
2010-03,0.347,
2010-04,0.348,
2010-05,0.339,
2010-06,0.325,
2010-07,0.337,
2010-08,0.332,
2010-09,0.333,
2010-10,0.329,
2010-11,0.335,
2010-12,0.321,
2011-01,0.325,
2011-02,0.310,
2011-03,0.303,
2011-04,0.287,
2011-05,0.290,
2011-06,0.282,
2011-07,0.282,
2011-08,0.279,
2011-09,0.271,
2011-10,0.264,
2011-11,0.258,
2011-12,0.259,
2012-01,0.252,
2012-02,0.253,
2012-03,0.263,
2012-04,0.268,
2012-05,0.298,
2012-06,0.304,
2012-07,0.302,
2012-08,0.315,
2012-09,0.319,
2012-10,0.329,
2012-11,0.352,
2012-12,0.369,
2013-01,0.397,
2013-02,0.408,
2013-03,0.419,
2013-04,0.415,
2013-05,0.441,
2013-06,0.434,
2013-07,0.443,
2013-08,0.447,
2013-09,0.457,
2013-10,0.461,
2013-11,0.457,
2013-12,0.466,
2014-01,0.462,
2014-02,0.465,
2014-03,0.460,
2014-04,0.467,
2014-05,0.467,
2014-06,0.469,
2014-07,0.463,
2014-08,0.462,
2014-09,0.456,
2014-10,0.456,
2014-11,0.447,
