"",BBK01.OEHB08J,BBK01.OEHB08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:30,
2002-01,7.260,
2002-04,7.418,
2002-07,7.334,
2002-10,7.431,
2003-01,7.440,
2003-04,7.530,
2003-07,7.531,
2003-10,7.650,
2004-01,7.705,
2004-04,7.793,
2004-07,7.830,
2004-10,7.942,
2005-01,8.670,
2005-04,8.671,
2005-07,8.685,
2005-10,8.767,
2006-01,8.686,
2006-04,8.724,
2006-07,8.686,
2006-10,8.702,
2007-01,8.636,
2007-04,8.675,
2007-07,8.711,
2007-10,8.706,
2008-01,8.669,
2008-04,8.742,
2008-07,8.762,
2008-10,8.902,
2009-01,8.745,
2009-04,8.830,
2009-07,8.076,
2009-10,8.178,
2010-01,8.102,
2010-04,8.098,
2010-07,8.089,
2010-10,8.122,
2011-01,8.092,
2011-04,8.198,
2011-07,8.225,
2011-10,8.286,
2012-01,8.267,
2012-04,8.344,
2012-07,8.415,
2012-10,8.386,
2013-01,8.457,
2013-04,8.576,
2013-07,8.564,
2013-10,8.617,
2014-01,8.687,
2014-04,8.788,
2014-07,8.895,
