"",BBK01.OELI09J,BBK01.OELI09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:17,
2002-01,0.083,
2002-04,0.078,
2002-07,0.074,
2002-10,0.078,
2003-01,0.073,
2003-04,0.073,
2003-07,0.067,
2003-10,0.060,
2004-01,0.066,
2004-04,0.067,
2004-07,0.074,
2004-10,0.062,
2005-01,0.058,
2005-04,0.052,
2005-07,0.057,
2005-10,0.071,
2006-01,0.076,
2006-04,0.084,
2006-07,0.073,
2006-10,0.067,
2007-01,0.048,
2007-04,0.039,
2007-07,0.053,
2007-10,0.063,
2008-01,0.068,
2008-04,0.064,
2008-07,0.042,
2008-10,0.032,
2009-01,0.032,
2009-04,0.045,
2009-07,0.095,
2009-10,0.100,
2010-01,0.112,
2010-04,0.113,
2010-07,0.082,
2010-10,0.076,
2011-01,0.064,
2011-04,0.064,
2011-07,0.054,
2011-10,0.048,
2012-01,0.058,
2012-04,0.057,
2012-07,0.047,
2012-10,0.041,
2013-01,0.029,
2013-04,0.017,
2013-07,0.016,
2013-10,0.014,
2014-01,0.016,
2014-04,0.017,
2014-07,0.018,
