"",BBEX3.M.CDF.EUR.CA.AC.A01,BBEX3.M.CDF.EUR.CA.AC.A01_FLAGS
2011-05,1323.22110,
2011-06,1316.08235,
2011-07,1313.29480,
2011-08,1327.89885,
2011-09,1258.01020,
2011-10,1302.99455,
2011-11,1184.07970,
2011-12,1173.89940,
2012-01,1198.39470,
2012-02,1238.53810,
2012-03,1223.78795,
2012-04,1214.50270,
2012-05,1149.23725,
2012-06,1145.02515,
2012-07,1118.40755,
2012-08,1154.51345,
2012-09,1179.30565,
2012-10,1192.82135,
2012-11,1192.59620,
2012-12,1211.06695,
2013-01,1237.45640,
2013-02,1203.51440,
2013-03,1173.17285,
2013-04,1202.27125,
2013-05,1191.05555,
2013-06,1194.78785,
2013-07,1213.74600,
2013-08,1212.49625,
2013-09,1249.91090,
2013-10,1278.71440,
2013-11,1260.21900,
2013-12,1266.42225,
2014-01,1255.61745,
2014-02,1274.01940,
2014-03,1271.31895,
2014-04,1280.32010,
2014-05,1255.29070,
2014-06,1260.98990,
2014-07,1235.65430,
2014-08,1221.95345,
2014-09,1174.06370,
2014-10,1169.66660,
2014-11,1154.85900,
2014-12,1129.95470,
2015-01,1044.50245,
2015-02,1050.46085,
"",General: *Referred to as indicative rates until December 2008.,
"","Source: Since January 2009 calculated on the basis of buying and selling rates of the Banque Centrale du Congo, Kinshasa. September 2006 - December 2008 Fortis Bank, Brüssel January 1999 - August 2006 Banque Belgolaise, Brüssel",
"","Comment on 1999-04: On 6 April 1999, the Congo franc was devalued. We recorded the following exchange rates:  5 April 1999: EUR 1 = CDF 3.16835  6 April 1999: EUR 1 = CDF 4.94665  Calculated devaluation: 35.9%.",
"","Comment on 2000-01: On 22 January 2000, the Congo franc was devalued. We recorded the following exchange rates:  21 January 2000: EUR 1 = CDF 4.7048  24 January 2000: EUR 1 = CDF 9.2005  Calculated devaluation: 48.9%.",
"","Comment on 2000-06: On 10 June 2000, the Congo franc was devalued. We recorded the following exchange rates:  9 June 2000: EUR 1 = CDF 8.79145  12 June 2000: EUR 1 = CDF 22.8783  Calculated devaluation: 61.6%.",
"","Comment on 2000-10: On 24 October 2000, the Congo franc was devalued. We recorded the following exchange rates:  23 October 2000: EUR 1 = CDF 20.24  24 October 2000: EUR 1 = CDF 43.34  Calculated devaluation: 53.3%.",
"","Comment on 2001-05: On 28 May 2001, the Congo franc was devalued. We recorded the following exchange rates:  25 May 2001: EUR 1 = CDF 44.03  28 May 2001: EUR 1 = CDF 266.75  Calculated devaluation: 83.5%.",
"",Comment on 2009-08: Exchange rate as of 7 September 2009.,
