"",BBK01.OEAE24V,BBK01.OEAE24V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:43,
2002-01,0.099,
2002-04,0.100,
2002-07,0.098,
2002-10,0.093,
2003-01,0.086,
2003-04,0.087,
2003-07,0.089,
2003-10,0.177,
2004-01,0.176,
2004-04,0.175,
2004-07,0.180,
2004-10,0.164,
2005-01,0.171,
2005-04,0.222,
2005-07,0.195,
2005-10,0.234,
2006-01,0.208,
2006-04,0.213,
2006-07,0.230,
2006-10,0.185,
2007-01,0.194,
2007-04,0.192,
2007-07,0.135,
2007-10,0.110,
2008-01,0.173,
2008-04,0.142,
2008-07,0.141,
2008-10,0.130,
2009-01,0.159,
2009-04,0.137,
2009-07,0.140,
2009-10,0.131,
2010-01,0.083,
2010-04,0.099,
2010-07,0.084,
2010-10,0.083,
2011-01,0.084,
2011-04,0.097,
2011-07,0.112,
2011-10,0.108,
2012-01,0.110,
2012-04,0.117,
2012-07,0.122,
2012-10,0.135,
2013-01,0.133,
2013-04,0.130,
2013-07,0.150,
2013-10,0.161,
2014-01,0.156,
2014-04,0.206,
2014-07,0.208,
