"",BBEX3.A.THB.USD.CA.AC.A04,BBEX3.A.THB.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Thailand / USD 1 = THB ... (middle),
unit,THB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:16:47,
1990,25.58500,
1991,25.52542,
1992,25.41042,
1993,25.32125,
1994,25.14167,
1995,24.92417,
1996,25.35500,
1997,31.57463,comment
1998,41.15686,comment
1999,37.90765,
2000,40.30708,
2001,44.47772,
2002,42.99788,
2003,41.50066,
2004,40.30662,
2005,40.30303,
2006,37.81043,
2007,34.52279,
2008,33.40468,
2009,34.32919,
2010,31.69673,
2011,30.55378,
2012,31.06645,
2013,30.75306,
2014,32.47835,
"","Source: Bank of Thailand, Bangkok.",
"",Methodology: Calculated on the basis of mid-month and month-end buying and selling rates.,
"","Comment on 1997: On 2 July 1997, the currency ceased to be pegged to a currency basket and a controlled floating exchange rate was adopted.",
"",Comment on 1998: In 1997/1998 financial crises in some south-east Asian countries.,
