"",BBK01.OEHJ05K,BBK01.OEHJ05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:38,
2002-01,2.214,
2002-04,2.338,
2002-07,2.367,
2002-10,2.526,
2003-01,2.793,
2003-04,3.211,
2003-07,3.234,
2003-10,3.351,
2004-01,3.610,
2004-04,3.827,
2004-07,3.712,
2004-10,4.156,
2005-01,4.583,
2005-04,4.719,
2005-07,4.975,
2005-10,5.291,
2006-01,5.420,
2006-04,5.483,
2006-07,5.469,
2006-10,5.512,
2007-01,5.553,
2007-04,5.452,
2007-07,5.456,
2007-10,5.464,
2008-01,5.421,
2008-04,5.476,
2008-07,5.560,
2008-10,5.523,
2009-01,5.484,
2009-04,5.533,
2009-07,5.776,
2009-10,5.806,
2010-01,5.954,
2010-04,6.015,
2010-07,5.845,
2010-10,5.867,
2011-01,5.807,
2011-04,5.801,
2011-07,5.786,
2011-10,5.883,
2012-01,5.463,
2012-04,5.532,
2012-07,5.522,
2012-10,5.495,
2013-01,5.629,
2013-04,5.574,
2013-07,5.533,
2013-10,5.537,
2014-01,5.456,
2014-04,5.328,
2014-07,3.961,
