"",BBK01.OEHB13U,BBK01.OEHB13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:35,
2002-01,2.038,
2002-04,2.061,
2002-07,2.058,
2002-10,2.054,
2003-01,2.044,
2003-04,2.053,
2003-07,2.051,
2003-10,2.053,
2004-01,2.009,
2004-04,2.017,
2004-07,1.999,
2004-10,2.000,
2005-01,1.979,
2005-04,1.986,
2005-07,1.967,
2005-10,1.961,
2006-01,1.928,
2006-04,1.932,
2006-07,1.922,
2006-10,1.930,
2007-01,1.905,
2007-04,1.901,
2007-07,1.883,
2007-10,1.887,
2008-01,1.893,
2008-04,1.891,
2008-07,1.895,
2008-10,1.881,
2009-01,1.864,
2009-04,1.858,
2009-07,1.840,
2009-10,1.824,
2010-01,1.818,
2010-04,1.831,
2010-07,1.826,
2010-10,1.820,
2011-01,1.804,
2011-04,1.812,
2011-07,1.794,
2011-10,1.789,
2012-01,1.787,
2012-04,1.807,
2012-07,1.825,
2012-10,1.827,
2013-01,1.802,
2013-04,1.804,
2013-07,1.813,
2013-10,1.806,
2014-01,1.806,
2014-04,1.819,
2014-07,1.813,
