"",BBK01.OEHL07Q,BBK01.OEHL07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:11,
2002-01,8.034,
2002-04,7.943,
2002-07,7.903,
2002-10,8.026,
2003-01,7.982,
2003-04,7.864,
2003-07,7.786,
2003-10,7.857,
2004-01,7.774,
2004-04,7.698,
2004-07,7.660,
2004-10,7.778,
2005-01,7.759,
2005-04,7.711,
2005-07,7.648,
2005-10,7.692,
2006-01,7.589,
2006-04,7.490,
2006-07,7.374,
2006-10,7.337,
2007-01,7.179,
2007-04,7.064,
2007-07,6.982,
2007-10,7.093,
2008-01,7.015,
2008-04,6.981,
2008-07,6.948,
2008-10,7.222,
2009-01,7.223,
2009-04,7.157,
2009-07,7.051,
2009-10,7.086,
2010-01,7.108,
2010-04,7.101,
2010-07,7.152,
2010-10,7.268,
2011-01,7.340,
2011-04,7.410,
2011-07,7.443,
2011-10,7.679,
2012-01,7.774,
2012-04,7.832,
2012-07,7.817,
2012-10,7.794,
2013-01,7.770,
2013-04,7.791,
2013-07,7.749,
2013-10,7.812,
2014-01,7.839,
2014-04,7.729,
2014-07,7.616,
