"",BBK01.OEAC39M,BBK01.OEAC39M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:53,
2002-01,5.104,
2002-04,5.188,
2002-07,5.269,
2002-10,5.284,
2003-01,5.454,
2003-04,5.718,
2003-07,5.577,
2003-10,5.662,
2004-01,5.568,
2004-04,5.693,
2004-07,5.519,
2004-10,5.565,
2005-01,5.410,
2005-04,5.459,
2005-07,5.359,
2005-10,5.363,
2006-01,5.252,
2006-04,5.018,
2006-07,4.835,
2006-10,4.589,
2007-01,4.622,
2007-04,4.535,
2007-07,4.904,
2007-10,4.949,
2008-01,4.816,
2008-04,4.954,
2008-07,4.962,
2008-10,5.108,
2009-01,4.908,
2009-04,5.055,
2009-07,5.115,
2009-10,5.273,
2010-01,4.244,
2010-04,4.992,
2010-07,5.216,
2010-10,5.438,
2011-01,5.340,
2011-04,5.238,
2011-07,5.261,
2011-10,5.360,
2012-01,5.226,
2012-04,5.650,
2012-07,5.662,
2012-10,5.704,
2013-01,5.615,
2013-04,5.868,
2013-07,5.926,
2013-10,5.792,
2014-01,5.860,
2014-04,5.753,
2014-07,5.838,
