"",BBEX3.M.TZS.USD.CA.AC.A01,BBEX3.M.TZS.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in the United Republic of Tanzania / USD 1 = TZS ... (middle),
unit,TZS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:45,
1984-01,12.61560,
1984-02,12.32735,
1984-03,12.38115,
1984-04,12.55585,
1984-05,12.62025,
1984-06,17.20630,comment
1984-07,17.44405,
1984-08,17.40095,
1984-09,17.73040,
1984-10,17.86205,
1984-11,17.92275,
1984-12,18.10095,
1985-01,18.26470,
1985-02,18.53800,
1985-03,17.78620,
1985-04,17.81070,
1985-05,17.70450,
1985-06,17.55130,
1985-07,17.00725,
1985-08,17.12885,
1985-09,16.86520,
1985-10,16.66010,
1985-11,16.33265,
1985-12,16.41480,
1986-01,16.36405,
1986-02,15.97220,
1986-03,16.07095,
1986-04,19.98745,comment
1986-05,26.07925,comment
1986-06,40.41855,comment
1986-07,41.47985,
1986-08,42.72305,
1986-09,44.60950,
1986-10,46.87480,
1986-11,49.23730,
1986-12,51.71890,
1987-01,53.57760,
1987-02,55.39930,
1987-03,57.28280,
1987-04,59.22820,
1987-05,61.30845,
1987-06,63.48350,
1987-07,65.69070,
1987-08,67.90430,
1987-09,70.22880,
1987-10,73.34600,
1987-11,76.60150,
1987-12,83.71735,
1988-01,91.49440,
1988-02,92.60560,
1988-03,93.73035,
1988-04,95.04655,
1988-05,96.20095,
1988-06,97.36930,
1988-07,97.46530,
1988-08,97.46530,
1988-09,98.30060,
1988-10,98.95800,
1988-11,122.09520,comment
1988-12,125.00000,
1989-01,129.05180,
1989-02,130.31400,
1989-03,134.80000,
1989-04,136.92440,
1989-05,137.75780,
1989-06,145.27190,
1989-07,145.00000,
1989-08,145.00000,
1989-09,145.00000,
1989-10,147.49600,
1989-11,155.00000,
1989-12,192.30000,comment
1990-01,193.26170,
1990-02,194.80460,
1990-03,194.29875,
1990-04,194.29875,
1990-05,194.29875,
1990-06,194.56415,
1990-07,194.20000,
1990-08,196.60000,
1990-09,196.60000,
1990-10,196.60000,
1990-11,196.60000,
1990-12,196.60000,
1991-01,196.60000,
1991-02,200.10020,
1991-03,203.70020,
1991-04,208.00020,
1991-05,226.50150,
1991-06,230.00020,
1991-07,230.43135,
1991-08,230.43135,
1991-09,230.43135,
1991-10,229.25135,
1991-11,233.13920,
1991-12,233.13920,
1992-01,234.33870,
