"",BBK01.OEAE09Q,BBK01.OEAE09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:21,
2002-01,2.089,
2002-04,2.112,
2002-07,2.052,
2002-10,2.009,
2003-01,2.103,
2003-04,2.548,
2003-07,2.900,
2003-10,2.901,
2004-01,2.797,
2004-04,3.120,
2004-07,2.563,
2004-10,2.687,
2005-01,2.739,
2005-04,2.436,
2005-07,2.551,
2005-10,2.581,
2006-01,2.569,
2006-04,2.677,
2006-07,2.456,
2006-10,2.666,
2007-01,2.804,
2007-04,2.403,
2007-07,2.214,
2007-10,2.179,
2008-01,2.077,
2008-04,1.917,
2008-07,1.911,
2008-10,1.847,
2009-01,1.586,
2009-04,1.395,
2009-07,1.320,
2009-10,1.240,
2010-01,1.387,
2010-04,1.336,
2010-07,1.369,
2010-10,1.322,
2011-01,1.743,
2011-04,1.763,
2011-07,1.539,
2011-10,1.214,
2012-01,1.205,
2012-04,1.193,
2012-07,1.244,
2012-10,1.281,
2013-01,1.221,
2013-04,1.192,
2013-07,1.120,
2013-10,1.218,
2014-01,1.115,
2014-04,1.159,
2014-07,1.150,
