"",BBK01.CELB05,BBK01.CELB05_FLAGS
"",long-term debt securities debtor: Total                               creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:15,
1999-01,0.3,
1999-04,0.3,
1999-07,0.4,
1999-10,0.3,
2000-01,0.2,
2000-04,0.5,
2000-07,0.1,
2000-10,0.3,
2001-01,0.2,
2001-04,0.2,
2001-07,0.2,
2001-10,0.0,
2002-01,0.0,
2002-04,0.0,
2002-07,0.0,
2002-10,0.0,
2003-01,-0.2,
2003-04,-0.2,
2003-07,-0.2,
2003-10,-0.2,
2004-01,0.0,
2004-04,0.0,
2004-07,-0.1,
2004-10,0.0,
2005-01,0.0,
2005-04,0.0,
2005-07,0.0,
2005-10,0.0,
2006-01,3.5,
2006-04,-31.4,
2006-07,11.1,
2006-10,-1.9,
2007-01,9.4,
2007-04,-2.4,
2007-07,-7.1,
2007-10,-2.3,
2008-01,1.5,
2008-04,4.2,
2008-07,6.0,
2008-10,-2.0,
2009-01,17.3,
2009-04,15.6,
2009-07,18.6,
2009-10,14.0,
2010-01,11.9,
2010-04,28.4,
2010-07,9.6,
2010-10,-4.9,
2011-01,-0.2,
2011-04,-4.0,
2011-07,-7.8,
2011-10,4.0,
2012-01,7.3,
2012-04,17.3,
2012-07,13.3,
2012-10,4.9,
2013-01,1.0,
2013-04,0.4,
2013-07,0.0,
2013-10,0.1,
2014-01,-0.1,
2014-04,-0.2,
2014-07,0.0,
