"",BBK01.BJ2120,BBK01.BJ2120_FLAGS
"",Budgetary position of social security funds (Germany as a whole) - total expenditure,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:11,
1991,274916,
1992,315673,
1993,336792,
1994,354682,
1995,380281,
1996,400833,
1997,406216,
1998,413574,
1999,425623,
2000,434312,
2001,449091,Provisional value
2002,466036,Provisional value
2003,474357,Provisional value
2004,468589,Provisional value
2005,471267,Provisional value
2006,466579,Provisional value
2007,466477,Provisional value
2008,479013,Estimated value
2009,506035,Estimated value
2010,512853,Estimated value
2011,511320,Estimated value
2012,518814,Estimated value
2013,531700,Estimated value
"",General: For Germany as a whole (excluding supplementary pension funds for public sector employees),
