"",BBK01.OEYI01Q,BBK01.OEYI01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:37,
2002-01,15.930,
2002-04,16.047,
2002-07,14.320,
2002-10,16.257,
2003-01,15.850,
2003-04,17.503,
2003-07,18.771,
2003-10,18.366,
2004-01,19.382,
2004-04,16.604,
2004-07,15.984,
2004-10,29.399,
2005-01,30.686,
2005-04,31.092,
2005-07,32.447,
2005-10,31.743,
2006-01,30.804,
2006-04,31.329,
2006-07,25.398,
2006-10,27.538,
2007-01,27.972,
2007-04,30.904,
2007-07,31.705,
2007-10,36.156,
2008-01,37.001,
2008-04,40.369,
2008-07,40.927,
2008-10,43.461,
2009-01,48.839,
2009-04,43.551,
2009-07,46.656,
2009-10,43.018,
2010-01,46.105,
2010-04,49.723,
2010-07,49.825,
2010-10,45.198,
2011-01,38.432,
2011-04,37.734,
2011-07,43.622,
2011-10,41.729,
2012-01,40.330,
2012-04,45.011,
2012-07,45.534,
2012-10,45.174,
2013-01,43.166,
2013-04,45.059,
2013-07,41.119,
2013-10,40.288,
2014-01,42.270,
2014-04,44.201,
2014-07,41.322,
