"",BBFB1.Q.N.DE.E1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:17,
1991-01,-5674.936,
1991-04,-4610.468,
1991-07,-4742.110,
1991-10,-5944.829,
1992-01,-5491.519,
1992-04,-4942.380,
1992-07,-5383.105,
1992-10,-5645.103,
1993-01,-5006.011,
1993-04,-5691.685,
1993-07,-5962.902,
1993-10,-6988.418,
1994-01,-6481.097,
1994-04,-6122.195,
1994-07,-6659.438,
1994-10,-7116.917,
1995-01,-6154.994,
1995-04,-5717.057,
1995-07,-5879.302,
1995-10,-6851.701,
1996-01,-6596.266,
1996-04,-6480.567,
1996-07,-4301.136,
1996-10,-6022.868,
1997-01,-7912.657,
1997-04,-5014.088,
1997-07,-6143.157,
1997-10,-4673.876,
1998-01,-9243.989,
1998-04,-3956.347,
1998-07,-5594.478,
1998-10,-5727.899,
1999-01,-6841.074,
1999-04,-4106.401,
1999-07,-5850.967,
1999-10,-5353.014,
2000-01,-6926.679,
2000-04,-5680.526,
2000-07,-5302.115,
2000-10,-6645.691,
2001-01,-7048.522,
2001-04,-6050.929,
2001-07,-4398.908,
2001-10,-5890.270,
2002-01,-7294.194,
2002-04,-6009.442,
2002-07,-3917.267,
2002-10,-4983.543,
2003-01,-6912.789,
2003-04,-5882.153,
2003-07,-6563.102,
2003-10,-5389.999,
2004-01,-7406.231,
2004-04,-4891.329,
2004-07,-6135.293,
2004-10,-4663.944,
2005-01,-9067.341,
2005-04,-3946.769,
2005-07,-5772.438,
2005-10,-5144.243,
2006-01,-8177.644,
2006-04,-3274.138,
2006-07,-6617.397,
2006-10,-6637.487,
2007-01,-9545.007,
2007-04,-2704.686,
2007-07,-5949.479,
2007-10,-7727.102,
2008-01,-8372.905,
2008-04,-2488.052,
2008-07,-5137.868,
2008-10,-8200.398,
2009-01,-8036.934,
2009-04,-3111.408,
2009-07,-5457.349,
2009-10,-9480.212,
2010-01,-10793.065,
2010-04,-3890.344,
2010-07,-7392.497,
2010-10,-8256.864,
2011-01,-10198.097,
2011-04,-2699.898,
2011-07,-6759.260,
2011-10,-7321.165,
2012-01,-11524.380,
2012-04,-4158.398,
2012-07,-6512.848,
2012-10,-8219.162,
2013-01,-12607.336,
2013-04,-6274.497,
2013-07,-7223.733,
2013-10,-8368.218,
2014-01,-12502.981,Provisional value
2014-04,-5424.485,Provisional value
2014-07,-5306.954,Provisional value
