"",BBK01.OEBB07P,BBK01.OEBB07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:03,
2002-01,0.202,
2002-04,0.198,
2002-07,0.195,
2002-10,0.183,
2003-01,0.188,
2003-04,0.203,
2003-07,0.195,
2003-10,0.195,
2004-01,0.190,
2004-04,0.187,
2004-07,0.183,
2004-10,0.172,
2005-01,0.176,
2005-04,0.182,
2005-07,0.186,
2005-10,0.179,
2006-01,0.184,
2006-04,0.176,
2006-07,0.182,
2006-10,0.201,
2007-01,0.187,
2007-04,0.184,
2007-07,0.185,
2007-10,0.205,
2008-01,0.196,
2008-04,0.197,
2008-07,0.192,
2008-10,0.210,
2009-01,0.184,
2009-04,0.187,
2009-07,0.187,
2009-10,0.276,
2010-01,0.270,
2010-04,0.301,
2010-07,0.300,
2010-10,0.297,
2011-01,0.297,
2011-04,0.299,
2011-07,0.305,
2011-10,0.296,
2012-01,0.300,
2012-04,0.326,
2012-07,0.325,
2012-10,0.245,
2013-01,0.254,
2013-04,0.270,
2013-07,0.378,
2013-10,0.387,
2014-01,0.392,
2014-04,0.388,
2014-07,0.342,
