"",BBK01.BQM004,BBK01.BQM004_FLAGS
"","General government debt - of which securities other than shares, excl. financial derivates",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:29,
2000-01,740260,
2000-04,744197,
2000-07,748223,
2000-10,761381,
2001-01,742219,
2001-04,749802,
2001-07,767304,
2001-10,783706,
2002-01,798689,
2002-04,821549,
2002-07,845623,
2002-10,849899,
2003-01,882113,
2003-04,894026,
2003-07,901769,
2003-10,921737,
2004-01,955462,
2004-04,970384,
2004-07,986160,
2004-10,990931,
2005-01,1008032,
2005-04,1029287,
2005-07,1043345,
2005-10,1060808,
2006-01,1072680,
2006-04,1092718,
2006-07,1103759,
2006-10,1113989,
2007-01,1113133,
2007-04,1131892,
2007-07,1120218,
2007-10,1144780,
2008-01,1141394,
2008-04,1170755,
2008-07,1180492,
2008-10,1185836,
2009-01,1221955,
2009-04,1288397,
2009-07,1287131,
2009-10,1303077,
2010-01,1326702,Provisional value
2010-04,1344197,Provisional value
2010-07,1365499,Provisional value
2010-10,1396221,Provisional value
2011-01,1418656,Provisional value
2011-04,1452789,Provisional value
2011-07,1467479,Provisional value
2011-10,1462529,Provisional value
2012-01,1496554,Provisional value
2012-04,1524318,Provisional value
2012-07,1531974,Provisional value
2012-10,1548316,Provisional value
2013-01,1554857,Provisional value
2013-04,1549485,Provisional value
2013-07,1546326,Provisional value
2013-10,1555987,Provisional value
2014-01,1562318,Provisional value
2014-04,1571172,Provisional value
2014-07,1575866,Provisional value
