"",BBK01.CEHO30,BBK01.CEHO30_FLAGS
"",Other deposits debtor: Monetary financial institutions                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:56,
1991-01,-4.1,
1991-04,9.3,
1991-07,18.1,
1991-10,71.7,
1992-01,-14.4,
1992-04,17.4,
1992-07,56.7,
1992-10,8.4,
1993-01,17.7,
1993-04,25.3,
1993-07,24.0,
1993-10,87.8,
1994-01,28.2,
1994-04,11.3,
1994-07,26.0,
1994-10,42.5,
1995-01,36.4,
1995-04,24.1,
1995-07,49.1,
1995-10,64.5,
1996-01,60.9,
1996-04,0.3,
1996-07,31.4,
1996-10,60.0,
1997-01,50.9,
1997-04,40.2,
1997-07,25.3,
1997-10,77.8,
1998-01,36.9,
1998-04,37.4,
1998-07,54.2,
1998-10,76.4,
1999-01,-38.7,
1999-04,34.0,
1999-07,84.1,
1999-10,101.0,
2000-01,4.6,
2000-04,-12.0,
2000-07,26.1,
2000-10,122.6,
2001-01,50.4,
2001-04,-15.4,
2001-07,13.5,
2001-10,33.7,
2002-01,-70.2,
2002-04,-15.5,
2002-07,26.9,
2002-10,101.4,
2003-01,-32.0,
2003-04,4.2,
2003-07,-29.3,
2003-10,78.6,
2004-01,-65.3,
2004-04,27.7,
2004-07,24.6,
2004-10,125.5,
2005-01,-59.4,
2005-04,14.8,
2005-07,28.6,
2005-10,33.3,
2006-01,22.7,
2006-04,14.8,
2006-07,38.6,
2006-10,38.4,
2007-01,31.7,
2007-04,11.0,
2007-07,117.8,
2007-10,197.7,
2008-01,-63.4,
2008-04,33.4,
2008-07,126.4,
2008-10,21.5,
2009-01,-249.1,
2009-04,14.2,
2009-07,-166.6,
2009-10,-71.5,
2010-01,-70.0,
2010-04,35.8,
2010-07,-104.4,
2010-10,47.9,
2011-01,-94.5,
2011-04,-30.1,
2011-07,56.7,
2011-10,18.7,
2012-01,80.3,
2012-04,-44.7,
2012-07,-89.1,
2012-10,-152.5,
2013-01,-62.1,
2013-04,-51.0,
2013-07,-108.0,
2013-10,-17.8,
2014-01,-35.8,
