"",BBK01.OEAF05K,BBK01.OEAF05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:59,
2002-01,8.160,
2002-04,8.349,
2002-07,9.132,
2002-10,9.507,
2003-01,9.076,
2003-04,9.770,
2003-07,10.804,
2003-10,10.167,
2004-01,11.547,
2004-04,10.970,
2004-07,11.381,
2004-10,13.433,
2005-01,12.051,
2005-04,12.121,
2005-07,12.365,
2005-10,12.396,
2006-01,12.136,
2006-04,12.187,
2006-07,12.272,
2006-10,12.217,
2007-01,11.679,
2007-04,11.647,
2007-07,11.605,
2007-10,11.568,
2008-01,11.534,
2008-04,11.393,
2008-07,11.339,
2008-10,11.952,
2009-01,11.976,
2009-04,12.133,
2009-07,12.203,
2009-10,12.438,
2010-01,12.555,
2010-04,11.626,
2010-07,12.045,
2010-10,12.281,
2011-01,12.184,
2011-04,12.360,
2011-07,12.330,
2011-10,12.457,
2012-01,12.380,
2012-04,12.388,
2012-07,12.261,
2012-10,12.175,
2013-01,12.378,
2013-04,12.278,
2013-07,12.149,
2013-10,12.256,
2014-01,12.222,
2014-04,12.427,
2014-07,11.676,
