"",BBK01.OECL09T,BBK01.OECL09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:17,
2002-01,0.022,
2002-04,0.021,
2002-07,0.024,
2002-10,0.023,
2003-01,0.021,
2003-04,0.020,
2003-07,0.020,
2003-10,0.019,
2004-01,0.019,
2004-04,0.019,
2004-07,0.018,
2004-10,0.019,
2005-01,0.019,
2005-04,0.019,
2005-07,0.017,
2005-10,0.018,
2006-01,0.017,
2006-04,0.018,
2006-07,0.017,
2006-10,0.018,
2007-01,0.021,
2007-04,0.022,
2007-07,0.022,
2007-10,0.023,
2008-01,0.026,
2008-04,0.026,
2008-07,0.031,
2008-10,0.043,
2009-01,0.041,
2009-04,0.040,
2009-07,0.040,
2009-10,0.029,
2010-01,0.024,
2010-04,0.022,
2010-07,0.022,
2010-10,0.021,
2011-01,0.023,
2011-04,0.022,
2011-07,0.020,
2011-10,0.021,
2012-01,0.022,
2012-04,0.021,
2012-07,0.021,
2012-10,0.019,
2013-01,0.015,
2013-04,0.014,
2013-07,0.013,
2013-10,0.012,
2014-01,0.011,
2014-04,0.011,
2014-07,0.013,
