"",BBK01.OELB13S,BBK01.OELB13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:24,
2002-01,0.772,
2002-04,0.772,
2002-07,0.776,
2002-10,0.770,
2003-01,0.753,
2003-04,0.755,
2003-07,0.746,
2003-10,0.729,
2004-01,0.724,
2004-04,0.722,
2004-07,0.712,
2004-10,0.688,
2005-01,0.683,
2005-04,0.674,
2005-07,0.667,
2005-10,0.651,
2006-01,0.647,
2006-04,0.646,
2006-07,0.634,
2006-10,0.635,
2007-01,0.633,
2007-04,0.566,
2007-07,0.566,
2007-10,0.576,
2008-01,0.576,
2008-04,0.581,
2008-07,0.585,
2008-10,0.587,
2009-01,0.596,
2009-04,0.598,
2009-07,0.629,
2009-10,0.710,
2010-01,0.713,
2010-04,0.717,
2010-07,0.711,
2010-10,0.739,
2011-01,0.741,
2011-04,0.751,
2011-07,0.750,
2011-10,0.775,
2012-01,0.782,
2012-04,1.197,
2012-07,1.205,
2012-10,1.203,
2013-01,1.217,
2013-04,1.212,
2013-07,1.231,
2013-10,1.223,
2014-01,1.223,
2014-04,1.237,
2014-07,1.243,
