"",BBK01.OECB17J,BBK01.OECB17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:14,
2002-01,0.846,
2002-04,0.840,
2002-07,0.842,
2002-10,0.834,
2003-01,0.836,
2003-04,0.836,
2003-07,0.835,
2003-10,0.828,
2004-01,0.817,
2004-04,0.822,
2004-07,0.825,
2004-10,0.825,
2005-01,0.970,
2005-04,0.993,
2005-07,1.009,
2005-10,1.001,
2006-01,1.007,
2006-04,1.006,
2006-07,1.033,
2006-10,1.026,
2007-01,1.009,
2007-04,1.024,
2007-07,1.028,
2007-10,1.025,
2008-01,1.013,
2008-04,0.987,
2008-07,0.987,
2008-10,1.001,
2009-01,1.002,
2009-04,1.020,
2009-07,1.024,
2009-10,1.014,
2010-01,1.024,
2010-04,1.026,
2010-07,1.032,
2010-10,1.026,
2011-01,1.025,
2011-04,1.032,
2011-07,1.042,
2011-10,1.061,
2012-01,1.054,
2012-04,1.069,
2012-07,1.061,
2012-10,1.063,
2013-01,1.071,
2013-04,1.080,
2013-07,1.094,
2013-10,1.103,
2014-01,1.105,
2014-04,1.112,
2014-07,1.129,
