"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.T._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.T._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Debt securities / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:38,
1991-01,-256.390,
1991-02,1027.475,
1991-03,1747.334,
1991-04,823.459,
1991-05,1927.609,
1991-06,1054.382,
1991-07,-434.112,
1991-08,188.551,
1991-09,-204.133,
1991-10,159.828,
1991-11,1183.416,
1991-12,-8.157,
1992-01,-232.593,
1992-02,3252.748,
1992-03,1403.509,
1992-04,808.371,
1992-05,-10.978,
1992-06,3086.835,
1992-07,112.605,
1992-08,-1734.089,
1992-09,-3326.443,
1992-10,1130.801,
1992-11,-704.431,
1992-12,233.111,
1993-01,-388.489,
1993-02,1945.171,
1993-03,3438.622,
1993-04,2467.537,
1993-05,1683.078,
1993-06,-1479.065,
1993-07,-889.689,
1993-08,611.187,
1993-09,-777.437,
1993-10,814.727,
1993-11,-227.059,
1993-12,-106.908,
1994-01,-512.575,
1994-02,3307.228,
1994-03,732.295,
1994-04,1919.158,
1994-05,1495.025,
1994-06,-796.776,
1994-07,1500.973,
1994-08,1098.105,
1994-09,1753.106,
1994-10,1494.833,
1994-11,1849.960,
1994-12,2948.841,
1995-01,-785.408,
1995-02,1716.560,
1995-03,599.860,
1995-04,1516.303,
1995-05,2046.012,
1995-06,442.467,
1995-07,-247.429,
1995-08,1864.706,
1995-09,1979.396,
1995-10,918.114,
1995-11,1488.718,
1995-12,1806.422,
1996-01,1549.674,
1996-02,2451.467,
1996-03,-680.196,
1996-04,1557.221,
1996-05,1135.456,
1996-06,-10.380,
1996-07,2515.379,
1996-08,-853.194,
1996-09,190.649,
1996-10,127.944,
1996-11,-38.786,
1996-12,2326.358,
1997-01,3670.272,
1997-02,2697.248,
1997-03,1028.190,
1997-04,3749.788,
1997-05,3589.334,
1997-06,6963.824,
1997-07,10555.732,
1997-08,2307.990,
1997-09,4104.834,
1997-10,3903.437,
1997-11,1397.913,
1997-12,-1715.075,
1998-01,3175.718,
1998-02,6653.635,
1998-03,3539.455,
1998-04,4343.987,
1998-05,7564.565,
1998-06,6878.650,
1998-07,4514.515,
1998-08,-1427.784,
1998-09,2634.895,
1998-10,7170.827,
1998-11,8460.916,
1998-12,6437.727,
1999-01,9040.412,
1999-02,12576.538,
1999-03,15100.285,
1999-04,11469.051,
1999-05,11574.020,
1999-06,3960.196,
1999-07,5705.143,
1999-08,4407.760,
1999-09,9484.470,
1999-10,4624.922,
1999-11,3663.957,
1999-12,3658.854,
2000-01,9672.210,
2000-02,15219.239,
2000-03,3944.498,
2000-04,1143.688,
2000-05,4222.841,
2000-06,3385.589,
2000-07,7205.547,
2000-08,722.847,
2000-09,10531.991,
2000-10,4900.760,
2000-11,7250.350,
2000-12,198.320,
2001-01,11855.035,
2001-02,10836.342,
2001-03,11648.575,
2001-04,10444.422,
2001-05,12830.385,
2001-06,5669.212,
2001-07,4896.060,
2001-08,1232.813,
2001-09,807.850,
2001-10,6615.224,
2001-11,3394.177,
2001-12,13342.086,
2002-01,3373.956,
2002-02,5303.291,
2002-03,10233.705,
2002-04,3563.871,
2002-05,10950.394,
2002-06,2449.054,
2002-07,8336.415,
2002-08,-1691.457,
2002-09,4293.981,
2002-10,1009.303,
2002-11,7154.863,
2002-12,-3616.196,
2003-01,4973.413,
2003-02,9819.088,
2003-03,1034.538,
2003-04,12397.587,
2003-05,10269.315,
2003-06,5404.570,
2003-07,-3842.351,
2003-08,-2106.797,
2003-09,5206.849,
2003-10,8987.861,
2003-11,-570.717,
2003-12,-1349.606,
2004-01,4034.319,
2004-02,7448.257,
2004-03,15844.114,
2004-04,9151.300,
2004-05,8290.596,
2004-06,14133.366,
2004-07,14517.435,
2004-08,4604.246,
2004-09,6245.960,
2004-10,9285.659,
2004-11,2814.793,
2004-12,3809.787,
2005-01,14691.459,
2005-02,20280.233,
2005-03,15862.282,
2005-04,19844.449,
2005-05,4059.314,
2005-06,20825.357,
2005-07,-5060.088,
2005-08,6568.534,
2005-09,11352.862,
2005-10,5250.868,
2005-11,13009.314,
2005-12,15433.225,
2006-01,18476.980,
2006-02,8001.311,
2006-03,15752.132,
2006-04,6578.927,
2006-05,13321.594,
2006-06,21072.712,
2006-07,4784.014,
2006-08,-3312.013,
2006-09,12125.640,
2006-10,18485.624,
2006-11,23577.364,
2006-12,762.149,
2007-01,26684.263,
2007-02,18452.116,
2007-03,21826.842,
2007-04,9663.000,
2007-05,18177.937,
2007-06,11730.111,
2007-07,-533.461,
2007-08,5567.474,
2007-09,1556.591,
2007-10,16255.716,
2007-11,1054.217,
2007-12,-2907.015,
2008-01,274.294,
2008-02,10391.541,
2008-03,22588.982,
2008-04,-9627.081,
2008-05,26951.297,
2008-06,13811.483,
2008-07,3428.154,
2008-08,-1558.883,
2008-09,-12431.816,
2008-10,-17172.290,
2008-11,-9566.308,
2008-12,-16738.232,
2009-01,2813.763,
2009-02,3429.821,
2009-03,4499.662,
2009-04,3259.087,
2009-05,14339.591,
2009-06,6538.141,
2009-07,11131.541,
2009-08,-320.731,
2009-09,7317.568,
2009-10,6623.418,
2009-11,10076.085,
2009-12,1038.767,
2010-01,12552.793,
2010-02,-1853.644,
2010-03,9611.904,
2010-04,155.875,
2010-05,2066.121,
2010-06,-2816.589,
2010-07,3672.196,
2010-08,2041.753,
2010-09,12344.498,
2010-10,125325.221,
2010-11,-6868.047,
2010-12,-8401.105,
2011-01,9355.108,
2011-02,10035.076,
2011-03,4140.446,
2011-04,2397.795,
2011-05,4695.561,
2011-06,-7757.529,
2011-07,-2613.098,
2011-08,2432.153,
2011-09,552.305,
2011-10,409.334,
2011-11,1436.318,
2011-12,-2019.721,
2012-01,23562.642,
2012-02,7307.957,
2012-03,2943.484,
2012-04,-2597.378,
2012-05,10285.339,
2012-06,-5464.383,
2012-07,7986.033,
2012-08,2536.199,
2012-09,8919.207,
2012-10,4786.270,
2012-11,8827.603,
2012-12,7289.209,
2013-01,14380.587,
2013-02,4529.563,
2013-03,5287.017,
2013-04,7309.980,
2013-05,20160.804,
2013-06,4298.296,
2013-07,8743.603,
2013-08,7398.856,
2013-09,138.887,
2013-10,1868.826,
2013-11,14897.787,
2013-12,1415.286,
2014-01,4147.271,
2014-02,3351.603,Provisional value
2014-03,19883.045,Provisional value
2014-04,16775.200,Provisional value
2014-05,3472.763,Provisional value
2014-06,7502.282,Provisional value
2014-07,2958.119,Provisional value
2014-08,-5852.521,Provisional value
2014-09,17398.407,
2014-10,7790.318,
2014-11,17886.879,
2014-12,590.260,Provisional value
