"",BBK01.OEAM04P,BBK01.OEAM04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:31,
2002-01,0.234,
2002-04,0.192,
2002-07,0.145,
2002-10,0.250,
2003-01,0.147,
2003-04,0.186,
2003-07,0.238,
2003-10,0.238,
2004-01,0.080,
2004-04,0.076,
2004-07,0.127,
2004-10,0.229,
2005-01,0.174,
2005-04,0.122,
2005-07,0.118,
2005-10,0.184,
2006-01,0.167,
2006-04,0.181,
2006-07,0.235,
2006-10,0.429,
2007-01,0.322,
2007-04,0.326,
2007-07,0.367,
2007-10,0.457,
2008-01,0.344,
2008-04,0.323,
2008-07,0.318,
2008-10,0.310,
2009-01,0.279,
2009-04,0.402,
2009-07,0.373,
2009-10,0.403,
2010-01,0.303,
2010-04,0.320,
2010-07,0.401,
2010-10,0.474,
2011-01,0.341,
2011-04,0.342,
2011-07,0.551,
2011-10,0.503,
2012-01,0.926,
2012-04,0.504,
2012-07,0.503,
2012-10,0.729,
2013-01,1.254,
2013-04,0.954,
2013-07,0.712,
2013-10,0.795,
2014-01,0.552,
2014-04,0.551,
2014-07,0.722,
