"",BBK01.OEAC49M,BBK01.OEAC49M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:51,
2002-01,3.575,
2002-04,3.608,
2002-07,3.601,
2002-10,3.574,
2003-01,3.585,
2003-04,3.620,
2003-07,3.628,
2003-10,3.610,
2004-01,3.591,
2004-04,3.580,
2004-07,3.611,
2004-10,3.535,
2005-01,3.495,
2005-04,3.487,
2005-07,3.500,
2005-10,3.635,
2006-01,3.575,
2006-04,3.439,
2006-07,3.283,
2006-10,3.268,
2007-01,3.266,
2007-04,3.294,
2007-07,3.323,
2007-10,3.325,
2008-01,3.294,
2008-04,3.304,
2008-07,3.318,
2008-10,3.415,
2009-01,3.805,
2009-04,3.839,
2009-07,3.892,
2009-10,3.875,
2010-01,3.951,
2010-04,3.930,
2010-07,3.940,
2010-10,3.864,
2011-01,3.860,
2011-04,3.759,
2011-07,3.781,
2011-10,3.838,
2012-01,3.820,
2012-04,3.829,
2012-07,3.852,
2012-10,3.860,
2013-01,3.803,
2013-04,3.785,
2013-07,3.803,
2013-10,3.781,
2014-01,3.706,
2014-04,3.762,
2014-07,3.758,
