"",BBK01.OEHB15O,BBK01.OEHB15O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:23,
2002-01,0.426,
2002-04,0.426,
2002-07,0.434,
2002-10,0.427,
2003-01,0.426,
2003-04,0.427,
2003-07,0.431,
2003-10,0.417,
2004-01,0.420,
2004-04,0.424,
2004-07,0.426,
2004-10,0.407,
2005-01,0.410,
2005-04,0.413,
2005-07,0.416,
2005-10,0.401,
2006-01,0.394,
2006-04,0.396,
2006-07,0.397,
2006-10,0.394,
2007-01,0.394,
2007-04,0.400,
2007-07,0.394,
2007-10,0.373,
2008-01,0.376,
2008-04,0.379,
2008-07,0.375,
2008-10,0.373,
2009-01,0.340,
2009-04,0.361,
2009-07,0.363,
2009-10,0.373,
2010-01,0.380,
2010-04,0.394,
2010-07,0.401,
2010-10,0.447,
2011-01,0.423,
2011-04,0.450,
2011-07,0.465,
2011-10,0.456,
2012-01,0.468,
2012-04,0.468,
2012-07,0.460,
2012-10,0.456,
2013-01,0.459,
2013-04,0.448,
2013-07,0.450,
2013-10,0.441,
2014-01,0.453,
2014-04,0.452,
2014-07,0.453,
