"",BBFN1.M.DE.N.1.L.E1.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.E1.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:42,
1995-01,23.071,
1995-02,23.136,
1995-03,24.209,
1995-04,23.335,
1995-05,24.010,
1995-06,24.220,
1995-07,23.954,
1995-08,24.201,
1995-09,24.697,
1995-10,24.606,
1995-11,25.332,
1995-12,23.179,
1996-01,23.240,
1996-02,24.702,
1996-03,23.230,
1996-04,23.943,
1996-05,24.607,
1996-06,22.632,
1996-07,22.930,
1996-08,22.837,
1996-09,24.407,
1996-10,23.906,
1996-11,24.018,
1996-12,22.892,
1997-01,21.546,
1997-02,23.240,
1997-03,23.234,
1997-04,25.106,
1997-05,25.942,
1997-06,27.506,
1997-07,27.512,
1997-08,26.229,
1997-09,25.485,
1997-10,27.937,
1997-11,27.031,
1997-12,25.377,
1998-01,26.804,
1998-02,26.679,
1998-03,29.292,
1998-04,28.790,
1998-05,26.369,
1998-06,23.129,
1998-07,23.833,
1998-08,23.110,
1998-09,23.033,
1998-10,23.462,
1998-11,24.844,
1998-12,23.707,
1999-01,23.938,
1999-02,22.897,
1999-03,25.156,
1999-04,25.294,
1999-05,24.216,
1999-06,26.802,
1999-07,28.403,
1999-08,30.060,
1999-09,28.594,
1999-10,30.407,
1999-11,27.464,
1999-12,35.475,
2000-01,39.002,
2000-02,47.586,
2000-03,46.000,
2000-04,44.021,
2000-05,45.092,
2000-06,34.477,
2000-07,28.266,
2000-08,27.047,
2000-09,33.460,
2000-10,31.144,
2000-11,29.890,
2000-12,28.959,
2001-01,31.926,
2001-02,26.927,
2001-03,25.943,
2001-04,28.250,
2001-05,32.244,
2001-06,29.180,
2001-07,30.928,
2001-08,29.628,
2001-09,28.163,
2001-10,27.415,
2001-11,27.563,
2001-12,24.595,
2002-01,26.706,
2002-02,27.919,
2002-03,28.895,
2002-04,27.172,
2002-05,29.247,
2002-06,27.005,
2002-07,27.207,
2002-08,27.438,
2002-09,25.702,
2002-10,25.476,
2002-11,26.038,
2002-12,21.688,
2003-01,24.662,
2003-02,22.046,
2003-03,22.382,
2003-04,24.210,
2003-05,21.931,
2003-06,20.260,
2003-07,21.212,
2003-08,21.335,
2003-09,19.855,
2003-10,18.910,
2003-11,19.580,
2003-12,20.548,
2004-01,23.521,
2004-02,24.449,
2004-03,22.580,
2004-04,22.121,
2004-05,21.525,
2004-06,19.227,
2004-07,18.164,
2004-08,17.800,
2004-09,18.303,
2004-10,17.627,
2004-11,16.721,
2004-12,14.634,
2005-01,15.943,
2005-02,16.226,
2005-03,14.992,
2005-04,15.335,
2005-05,15.630,
2005-06,14.956,
2005-07,16.127,
2005-08,19.677,
2005-09,20.724,
2005-10,21.757,
2005-11,21.638,
2005-12,18.693,
2006-01,21.199,
2006-02,24.543,
2006-03,25.140,
2006-04,25.712,
2006-05,24.469,
2006-06,28.570,
2006-07,29.217,
2006-08,30.319,
2006-09,33.907,
2006-10,31.124,
2006-11,29.861,
2006-12,27.794,
2007-01,36.071,
2007-02,45.266,
2007-03,36.082,
2007-04,35.033,
2007-05,40.346,
2007-06,32.719,
2007-07,33.502,
2007-08,30.283,
2007-09,33.529,
2007-10,28.778,
2007-11,31.281,
2007-12,28.479,
2008-01,42.312,
2008-02,44.599,
2008-03,34.471,
2008-04,38.313,
2008-05,41.421,
2008-06,35.400,
2008-07,34.294,
2008-08,33.516,
2008-09,36.380,
2008-10,44.813,
2008-11,42.365,
2008-12,39.473,
2009-01,46.770,
2009-02,41.830,
2009-03,44.096,
2009-04,47.064,
2009-05,39.571,
2009-06,39.240,
2009-07,34.260,
2009-08,34.385,
2009-09,32.926,
2009-10,33.923,
2009-11,35.223,
2009-12,45.880,
2010-01,33.621,
2010-02,32.618,
2010-03,34.600,
2010-04,34.549,
2010-05,37.771,
2010-06,42.176,
2010-07,48.262,
2010-08,48.000,
2010-09,48.713,
2010-10,48.932,
2010-11,46.838,
2010-12,47.056,
2011-01,50.775,
2011-02,48.050,
2011-03,45.099,
2011-04,51.010,
2011-05,51.222,
2011-06,54.948,
2011-07,60.480,
2011-08,67.344,
2011-09,78.118,
2011-10,69.426,
2011-11,70.469,
2011-12,70.875,
2012-01,68.191,
2012-02,65.468,
2012-03,80.854,
2012-04,86.486,
2012-05,93.336,
2012-06,90.798,
2012-07,86.899,
2012-08,76.246,
2012-09,82.130,
2012-10,82.736,
2012-11,79.378,
2012-12,77.452,
2013-01,80.409,
2013-02,83.096,
2013-03,88.420,
2013-04,99.177,
2013-05,93.980,
2013-06,102.509,
2013-07,95.587,
2013-08,81.771,
2013-09,85.933,
2013-10,78.221,
2013-11,82.456,
2013-12,66.577,
2014-01,74.713,
2014-02,69.609,
2014-03,75.152,
2014-04,80.705,
2014-05,78.308,
2014-06,73.926,
2014-07,86.932,
2014-08,81.189,
2014-09,80.005,
2014-10,74.602,
2014-11,74.919,
2014-12,74.774,
