"",BBK01.CEFV0M,BBK01.CEFV0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:27,
1999-01,4.1,
1999-04,4.1,
1999-07,4.1,
1999-10,4.2,
2000-01,4.2,
2000-04,4.2,
2000-07,4.2,
2000-10,4.3,
2001-01,4.3,
2001-04,4.2,
2001-07,4.0,
2001-10,4.1,
2002-01,3.9,
2002-04,3.8,
2002-07,3.7,
2002-10,3.7,
2003-01,3.7,
2003-04,3.7,
2003-07,3.6,
2003-10,3.7,
2004-01,3.6,
2004-04,3.6,
2004-07,3.5,
2004-10,3.5,
2005-01,3.5,
2005-04,3.5,
2005-07,3.3,
2005-10,3.4,
2006-01,3.2,
2006-04,3.2,
2006-07,3.2,
2006-10,3.3,
2007-01,3.2,
2007-04,3.1,
2007-07,3.0,
2007-10,3.0,
2008-01,2.9,
2008-04,2.8,
2008-07,2.8,
2008-10,2.8,
2009-01,3.0,
2009-04,3.3,
2009-07,3.4,
2009-10,3.7,
2010-01,3.7,
2010-04,3.6,
2010-07,3.4,
2010-10,3.3,
2011-01,3.1,
2011-04,3.0,
2011-07,2.9,
2011-10,2.8,
2012-01,2.8,
2012-04,2.7,
2012-07,2.6,
2012-10,2.6,
2013-01,2.7,
2013-04,2.6,
2013-07,2.5,
2013-10,2.5,
2014-01,2.5,
2014-04,2.4,
2014-07,2.5,
