"",BBK01.SUD106S,BBK01.SUD106S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Households' deposits redeemable at notice of over 3 months,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:54,
2000-01,3.8476,Estimated value
2000-02,3.9015,Estimated value
2000-03,3.9724,Estimated value
2000-04,3.9855,Estimated value
2000-05,4.0202,Estimated value
2000-06,4.0676,Estimated value
2000-07,4.0889,Estimated value
2000-08,4.0973,Estimated value
2000-09,4.1311,Estimated value
2000-10,4.1479,Estimated value
2000-11,4.1437,Estimated value
2000-12,4.0852,Estimated value
2001-01,3.9538,Estimated value
2001-02,3.9451,Estimated value
2001-03,3.9143,Estimated value
2001-04,3.8745,Estimated value
2001-05,3.8879,Estimated value
2001-06,3.8834,Estimated value
2001-07,3.8745,Estimated value
2001-08,3.8253,Estimated value
2001-09,3.7528,Estimated value
2001-10,3.6557,Estimated value
2001-11,3.5038,Estimated value
2001-12,3.5534,Estimated value
2002-01,3.6073,Estimated value
2002-02,3.6555,Estimated value
2002-03,3.7126,Estimated value
2002-04,3.7173,Estimated value
2002-05,3.7220,Estimated value
2002-06,3.7173,Estimated value
2002-07,3.6845,Estimated value
2002-08,3.5806,Estimated value
2002-09,3.5125,Estimated value
2002-10,3.4579,Estimated value
2002-11,3.4478,Estimated value
2002-12,3.3922,Estimated value
