"",BBK01.OEAH77H,BBK01.OEAH77H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:11,
2002-01,3.059,
2002-04,3.006,
2002-07,2.884,
2002-10,2.973,
2003-01,2.545,
2003-04,2.521,
2003-07,2.405,
2003-10,2.558,
2004-01,2.145,
2004-04,1.882,
2004-07,1.829,
2004-10,1.745,
2005-01,1.673,
2005-04,1.648,
2005-07,1.461,
2005-10,1.453,
2006-01,1.338,
2006-04,1.351,
2006-07,1.155,
2006-10,1.284,
2007-01,1.273,
2007-04,1.260,
2007-07,1.478,
2007-10,2.015,
2008-01,2.100,
2008-04,2.036,
2008-07,2.134,
2008-10,2.623,
2009-01,2.546,
2009-04,2.524,
2009-07,3.034,
2009-10,2.878,
2010-01,2.847,
2010-04,2.397,
2010-07,2.435,
2010-10,15.748,
2011-01,10.681,
2011-04,9.456,
2011-07,9.301,
2011-10,9.312,
2012-01,9.093,
2012-04,8.711,
2012-07,8.457,
2012-10,8.755,
2013-01,8.364,
2013-04,7.748,
2013-07,2.516,
2013-10,2.486,
2014-01,2.539,
2014-04,2.608,
2014-07,2.745,
