"",BBK01.OEAH29H,BBK01.OEAH29H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:53,
2002-01,111.443,
2002-04,116.009,
2002-07,115.026,
2002-10,118.624,
2003-01,117.246,
2003-04,120.886,
2003-07,118.482,
2003-10,125.147,
2004-01,125.886,
2004-04,125.521,
2004-07,124.447,
2004-10,125.528,
2005-01,129.609,
2005-04,130.293,
2005-07,132.551,
2005-10,131.309,
2006-01,133.461,
2006-04,134.391,
2006-07,136.861,
2006-10,135.715,
2007-01,142.460,
2007-04,147.230,
2007-07,148.990,
2007-10,151.104,
2008-01,166.650,
2008-04,170.180,
2008-07,177.028,
2008-10,180.269,
2009-01,194.017,
2009-04,191.597,
2009-07,188.946,
2009-10,194.260,
2010-01,188.971,
2010-04,189.578,
2010-07,188.025,
2010-10,188.415,
2011-01,185.920,
2011-04,183.400,
2011-07,199.538,
2011-10,199.329,
2012-01,190.717,
2012-04,190.965,
2012-07,203.663,
2012-10,198.802,
2013-01,198.280,
2013-04,205.359,
2013-07,181.439,
2013-10,178.725,
2014-01,177.282,
2014-04,176.556,
2014-07,178.536,
