"",BBEX3.M.PEN.EUR.CA.AB.A01,BBEX3.M.PEN.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Peru / EUR 1 = PEN ... (selling),
unit,PEN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:02,
2003-01,3.718,
2003-02,3.765,
2003-03,3.823,
2003-04,3.798,
2003-05,4.123,
2003-06,3.978,
2003-07,3.915,
2003-08,3.831,
2003-09,4.035,
2003-10,4.076,
2003-11,4.043,
2003-12,4.368,
2004-01,4.372,
2004-02,4.303,
2004-03,4.261,
2004-04,4.265,
2004-05,4.283,
2004-06,4.246,
2004-07,4.252,
2004-08,4.175,
2004-09,4.225,
2004-10,4.407,
2004-11,4.305,
2004-12,4.497,
2005-01,4.297,
2005-02,4.363,
2005-03,4.283,
2005-04,4.246,
2005-05,4.084,
2005-06,4.022,
2005-07,3.969,
2005-08,4.055,
2005-09,4.050,
2005-10,4.097,
2005-11,4.168,
2005-12,4.039,
2006-01,4.024,
2006-02,3.969,
2006-03,4.109,
2006-04,4.177,
2006-05,4.280,
2006-06,4.188,
2006-07,4.166,
2006-08,4.173,
2006-09,4.181,
2006-10,4.141,
2006-11,4.302,
2006-12,4.249,
2007-01,4.180,
2007-02,4.240,
2007-03,4.265,
2007-04,4.372,
2007-05,4.331,
2007-06,4.307,
2007-07,4.374,
2007-08,4.333,
2007-09,4.441,
2007-10,4.310,
2007-11,4.477,
2007-12,4.462,
2008-01,4.368,
2008-02,4.416,
2008-03,4.385,
2008-04,4.493,
2008-05,4.468,
2008-06,4.724,
2008-07,4.456,
2008-08,4.369,
2008-09,4.317,
2008-10,4.006,
2008-11,4.040,
2008-12,4.449,
2009-01,4.342,
2009-02,4.263,
2009-03,4.242,
2009-04,3.990,
2009-05,4.292,
2009-06,4.422,
2009-07,4.329,
2009-08,4.258,
2009-09,4.389,
2009-10,4.362,
2009-11,4.485,
2009-12,4.233,
2010-01,4.072,
2010-02,3.978,
2010-03,3.952,
2010-04,3.795,
2010-05,3.587,
2010-06,3.611,
2010-07,3.677,
2010-08,3.654,
2010-09,3.872,
2010-10,4.001,
2010-11,3.798,
2010-12,3.758,
2011-01,3.913,
2011-02,3.865,
2011-03,4.029,
2011-04,4.376,
2011-05,4.080,
2011-06,4.048,
2011-07,4.074,
2011-08,4.049,
2011-09,3.829,
2011-10,3.934,
2011-11,3.839,
2011-12,3.688,
2012-01,3.745,
2012-02,3.663,
2012-03,3.768,
2012-04,3.767,
2012-05,3.517,
2012-06,3.493,
2012-07,3.437,
2012-08,3.317,
2012-09,3.423,
2012-10,3.445,
2012-11,3.396,
2012-12,3.492,
2013-01,3.528,
2013-02,3.449,
2013-03,3.414,
2013-04,3.496,
2013-05,3.603,
2013-06,3.748,
2013-07,3.791,
2013-08,3.760,
2013-09,3.829,
2013-10,3.843,
2013-11,3.899,
2013-12,3.944,
2014-01,3.894,
2014-02,3.892,
2014-03,3.958,
2014-04,3.973,
2014-05,3.887,
2014-06,3.944,
2014-07,3.831,
2014-08,3.803,
2014-09,3.779,
2014-10,3.785,
2014-11,3.716,
2014-12,3.766,
2015-01,3.597,
"","Source: Superintendencia de Banca, Seguros y AFP, Lima",
