"",BBK01.OEHJ03H,BBK01.OEHJ03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:25,
2002-01,2.254,
2002-04,2.274,
2002-07,2.267,
2002-10,2.189,
2003-01,2.148,
2003-04,2.037,
2003-07,2.001,
2003-10,2.015,
2004-01,1.838,
2004-04,1.777,
2004-07,1.882,
2004-10,1.944,
2005-01,1.863,
2005-04,1.833,
2005-07,1.851,
2005-10,2.073,
2006-01,2.203,
2006-04,2.258,
2006-07,2.507,
2006-10,2.536,
2007-01,2.699,
2007-04,2.667,
2007-07,3.022,
2007-10,3.074,
2008-01,3.100,
2008-04,3.272,
2008-07,3.606,
2008-10,3.870,
2009-01,3.065,
2009-04,2.477,
2009-07,2.200,
2009-10,2.644,
2010-01,2.226,
2010-04,2.047,
2010-07,2.090,
2010-10,2.361,
2011-01,2.365,
2011-04,2.288,
2011-07,2.286,
2011-10,2.458,
2012-01,2.220,
2012-04,1.817,
2012-07,1.634,
2012-10,1.555,
2013-01,1.401,
2013-04,1.344,
2013-07,1.248,
2013-10,1.228,
2014-01,1.179,
2014-04,1.004,
2014-07,1.113,
