"",BBK01.OEHB03U,BBK01.OEHB03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:31,
2002-01,0.460,
2002-04,0.456,
2002-07,0.465,
2002-10,0.466,
2003-01,0.466,
2003-04,0.466,
2003-07,0.447,
2003-10,0.429,
2004-01,0.410,
2004-04,0.397,
2004-07,0.385,
2004-10,0.395,
2005-01,0.381,
2005-04,0.383,
2005-07,0.369,
2005-10,0.360,
2006-01,0.365,
2006-04,0.409,
2006-07,0.415,
2006-10,0.424,
2007-01,0.419,
2007-04,0.425,
2007-07,0.424,
2007-10,0.461,
2008-01,0.451,
2008-04,0.472,
2008-07,0.469,
2008-10,0.463,
2009-01,0.465,
2009-04,0.467,
2009-07,0.512,
2009-10,0.502,
2010-01,0.495,
2010-04,0.507,
2010-07,0.520,
2010-10,0.504,
2011-01,0.542,
2011-04,0.515,
2011-07,0.511,
2011-10,0.513,
2012-01,0.517,
2012-04,0.527,
2012-07,0.529,
2012-10,0.517,
2013-01,0.536,
2013-04,0.522,
2013-07,0.524,
2013-10,0.529,
2014-01,0.522,
2014-04,0.503,
2014-07,0.496,
