"",BBK01.OEAL08U,BBK01.OEAL08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:44,
2002-01,8.577,
2002-04,8.291,
2002-07,8.223,
2002-10,8.544,
2003-01,8.681,
2003-04,8.686,
2003-07,8.830,
2003-10,9.185,
2004-01,9.261,
2004-04,9.257,
2004-07,9.314,
2004-10,9.541,
2005-01,10.311,
2005-04,10.287,
2005-07,10.275,
2005-10,10.318,
2006-01,10.284,
2006-04,10.154,
2006-07,9.937,
2006-10,9.942,
2007-01,9.779,
2007-04,9.600,
2007-07,9.373,
2007-10,9.471,
2008-01,9.417,
2008-04,9.209,
2008-07,9.012,
2008-10,9.040,
2009-01,9.202,
2009-04,9.323,
2009-07,9.685,
2009-10,10.037,
2010-01,10.293,
2010-04,10.391,
2010-07,10.578,
2010-10,10.888,
2011-01,11.041,
2011-04,10.950,
2011-07,10.957,
2011-10,11.097,
2012-01,11.230,
2012-04,11.219,
2012-07,11.289,
2012-10,11.515,
2013-01,11.705,
2013-04,11.729,
2013-07,11.755,
2013-10,11.846,
2014-01,11.846,
2014-04,11.774,
2014-07,11.806,
