"",BBSF2.M.1.T.00000.DGE01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DGE01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:47,
2009-09,65,
2009-10,63,
2009-11,64,
2009-12,66,
2010-01,62,
2010-02,64,
2010-03,66,
2010-04,71,
2010-05,90,
2010-06,89,
2010-07,88,
2010-08,90,
2010-09,87,
2010-10,86,
2010-11,82,
2010-12,83,
2011-01,84,
2011-02,81,
2011-03,82,
2011-04,82,
2011-05,83,
2011-06,83,
2011-07,86,
2011-08,90,
2011-09,86,
2011-10,87,
2011-11,85,
2011-12,84,
2012-01,95,
2012-02,106,
2012-03,107,
2012-04,160,
2012-05,164,
2012-06,169,
2012-07,188,
2012-08,192,
2012-09,205,
2012-10,204,
2012-11,203,
2012-12,205,
2013-01,206,
2013-02,202,
2013-03,205,
2013-04,205,
2013-05,204,
2013-06,202,
2013-07,205,
2013-08,203,
2013-09,203,
2013-10,292,
2013-11,295,
2013-12,301,
2014-01,303,
2014-02,305,
2014-03,360,
2014-04,372,
2014-05,365,
2014-06,363,
2014-07,363,
2014-08,214,
2014-09,215,
2014-10,421,
2014-11,391,
