"",BBFB1.Q.N.DE.FR.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:13,
1991-01,11010.819,
1991-04,10959.321,
1991-07,10545.109,
1991-10,11531.326,
1992-01,11293.353,
1992-04,10742.369,
1992-07,10462.221,
1992-10,11006.692,
1993-01,10138.749,
1993-04,10123.654,
1993-07,9107.941,
1993-10,9621.787,
1994-01,10435.171,
1994-04,10479.322,
1994-07,10003.667,
1994-10,10816.269,
1995-01,11419.917,
1995-04,11288.847,
1995-07,10534.164,
1995-10,11360.725,
1996-01,10748.273,
1996-04,10874.612,
1996-07,10019.528,
1996-10,10585.723,
1997-01,10968.675,
1997-04,11283.764,
1997-07,10754.643,
1997-10,11839.639,
1998-01,12214.779,
1998-04,12658.646,
1998-07,11639.643,
1998-10,12777.294,
1999-01,13225.704,
1999-04,13223.503,
1999-07,12926.677,
1999-10,14279.543,
2000-01,15093.519,
2000-04,15121.586,
2000-07,14426.067,
2000-10,17423.936,
2001-01,16236.929,
2001-04,15620.476,
2001-07,14626.965,
2001-10,15137.730,
2002-01,14906.802,
2002-04,16066.942,
2002-07,14707.345,
2002-10,16025.802,
2003-01,15656.178,
2003-04,15349.446,
2003-07,14850.878,
2003-10,16586.332,
2004-01,16479.078,
2004-04,17400.507,
2004-07,16811.125,
2004-10,18171.612,
2005-01,17601.823,
2005-04,18797.706,
2005-07,17351.749,
2005-10,20295.633,
2006-01,20382.953,
2006-04,20130.431,
2006-07,18777.598,
2006-10,20530.848,
2007-01,21358.049,
2007-04,21318.903,
2007-07,20304.987,
2007-10,22348.099,
2008-01,22738.720,
2008-04,22811.180,
2008-07,21037.259,
2008-10,20697.845,
2009-01,19403.502,
2009-04,17172.758,
2009-07,16727.194,
2009-10,18764.157,
2010-01,19233.324,
2010-04,20284.490,
2010-07,19619.546,
2010-10,21447.459,
2011-01,23011.648,
2011-04,23633.072,
2011-07,21006.590,
2011-10,22353.653,
2012-01,24439.400,
2012-04,22457.535,
2012-07,21232.410,
2012-10,21346.963,
2013-01,22340.574,
2013-04,21967.180,
2013-07,21159.164,
2013-10,21839.520,
2014-01,22816.406,Provisional value
2014-04,22338.646,Provisional value
2014-07,21202.932,Provisional value
