"",BBK01.OEAE33K,BBK01.OEAE33K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:02,
2002-01,4.102,
2002-04,4.126,
2002-07,4.146,
2002-10,4.518,
2003-01,3.999,
2003-04,3.642,
2003-07,3.593,
2003-10,3.566,
2004-01,3.382,
2004-04,3.514,
2004-07,3.477,
2004-10,3.564,
2005-01,3.426,
2005-04,3.661,
2005-07,3.694,
2005-10,3.709,
2006-01,3.613,
2006-04,3.684,
2006-07,3.673,
2006-10,3.646,
2007-01,3.083,
2007-04,3.019,
2007-07,2.955,
2007-10,2.977,
2008-01,3.155,
2008-04,3.080,
2008-07,3.069,
2008-10,3.035,
2009-01,3.162,
2009-04,3.264,
2009-07,3.305,
2009-10,3.161,
2010-01,3.139,
2010-04,3.227,
2010-07,3.286,
2010-10,3.546,
2011-01,3.476,
2011-04,3.467,
2011-07,3.405,
2011-10,3.412,
2012-01,3.464,
2012-04,3.489,
2012-07,3.493,
2012-10,3.537,
2013-01,3.530,
2013-04,3.503,
2013-07,3.496,
2013-10,3.396,
2014-01,3.136,
2014-04,3.323,
2014-07,3.394,
