"",BBK01.OEYB22L,BBK01.OEYB22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:13,
2002-01,2.123,
2002-04,0.719,
2002-07,0.903,
2002-10,1.222,
2003-01,3.265,
2003-04,1.241,
2003-07,1.505,
2003-10,0.780,
2004-01,1.127,
2004-04,0.634,
2004-07,0.421,
2004-10,0.747,
2005-01,1.352,
2005-04,0.775,
2005-07,0.202,
2005-10,0.769,
2006-01,0.757,
2006-04,1.555,
2006-07,2.077,
2006-10,1.542,
2007-01,1.699,
2007-04,1.917,
2007-07,1.140,
2007-10,1.490,
2008-01,0.518,
2008-04,0.471,
2008-07,0.190,
2008-10,0.803,
2009-01,0.453,
2009-04,0.041,
2009-07,0.014,
2009-10,0.013,
2010-01,0.003,
2010-04,0.065,
2010-07,0.159,
2010-10,0.460,
2011-01,0.174,
2011-04,0.212,
2011-07,0.603,
2011-10,0.253,
2012-01,0.460,
2012-04,0.726,
2012-07,0.404,
2012-10,1.228,
2013-01,1.436,
2013-04,1.073,
2013-07,1.332,
2013-10,1.569,
2014-01,1.708,
2014-04,1.947,
2014-07,1.349,
