"",BBDE1.M.DE.Y.AEN5.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.AEN5.A2P300000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At current prices, flows / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:01,
2010-01,88.5,
2010-02,90.8,
2010-03,93.2,
2010-04,97.9,
2010-05,99.0,
2010-06,98.7,
2010-07,101.3,
2010-08,103.5,
2010-09,103.1,
2010-10,103.6,
2010-11,108.5,
2010-12,108.5,
2011-01,112.9,
2011-02,110.6,
2011-03,110.4,
2011-04,108.6,
2011-05,108.0,
2011-06,107.4,
2011-07,109.2,
2011-08,109.8,
2011-09,108.3,
2011-10,108.3,
2011-11,105.9,
2011-12,108.1,
2012-01,108.1,
2012-02,109.1,
2012-03,109.3,
2012-04,108.6,
2012-05,111.1,
2012-06,107.8,
2012-07,110.4,
2012-08,109.3,
2012-09,108.1,
2012-10,110.5,
2012-11,109.0,
2012-12,110.9,
2013-01,108.3,
2013-02,109.7,
2013-03,110.5,
2013-04,111.4,
2013-05,110.9,
2013-06,110.7,
2013-07,109.8,
2013-08,110.7,
2013-09,113.0,
2013-10,114.0,
2013-11,113.2,
2013-12,113.2,
2014-01,116.7,
2014-02,115.6,
2014-03,113.1,
2014-04,114.5,
2014-05,110.9,
2014-06,113.6,
2014-07,115.8,
2014-08,111.1,
2014-09,117.1,
2014-10,120.8,
2014-11,121.1,
2014-12,121.7,Provisional value
