"",BBK01.QX6480,BBK01.QX6480_FLAGS
"",Banks in Germany: Claims on non-residents / Iraq / US dollar,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:24:00,
1995-01,0.310,
1995-02,0.300,
1995-03,0.284,
1995-04,0.283,
1995-05,0.285,
1995-06,0.284,
1995-07,0.283,
1995-08,0.302,
1995-09,0.291,
1995-10,0.290,
1995-11,0.295,
1995-12,0.295,
1996-01,0.559,
1996-02,0.002,
1996-03,0.002,
1996-04,0.002,
1996-05,0.002,
1996-06,0.002,
1996-07,0.002,
1996-08,0.002,
1996-09,0.002,
1996-10,0.002,
1996-11,0.002,
1996-12,0.002,
1997-01,0.002,
1997-02,0.002,
1997-03,0.002,
1997-04,0.002,
1997-05,0.002,
1997-06,0.002,
1997-07,0.002,
1997-08,0.002,
1997-09,0.002,
1997-10,0.002,
1997-11,0.002,
1997-12,0.002,
1998-01,0.002,
1998-02,0.002,
1998-03,0.002,
1998-04,0.002,
1998-05,0.002,
1998-06,0.002,
1998-07,0.002,
1998-08,0.002,
1998-09,0.002,
1998-10,0.002,
1998-11,0.002,
1998-12,0.002,
1999-01,0.001,
1999-02,0.001,
1999-03,0.001,
1999-04,0.001,
1999-05,0.001,
1999-06,0.001,
1999-07,0.001,
1999-08,0.001,
1999-09,0.001,
1999-10,0.001,
1999-11,0.001,
1999-12,0.001,
2000-01,0.001,
2000-02,0.002,
2000-03,0.002,
2000-04,0.002,
2000-05,0.002,
2000-06,0.002,
2000-07,0.002,
2000-08,-,Nothing exists
2000-09,.,No value available
2000-10,0.001,
2000-11,-,Nothing exists
2000-12,.,No value available
2001-01,.,No value available
2001-02,.,No value available
2001-03,.,No value available
2001-04,.,No value available
2001-05,0.001,
2001-06,.,No value available
2001-07,.,No value available
2001-08,-,Nothing exists
2001-09,.,No value available
2001-10,-,Nothing exists
2001-11,-,Nothing exists
2001-12,.,No value available
2002-01,0.001,
2002-02,.,No value available
2002-03,.,No value available
2002-04,.,No value available
2002-05,.,No value available
2002-06,.,No value available
2002-07,.,No value available
2002-08,.,No value available
2002-09,.,No value available
2002-10,.,No value available
2002-11,.,No value available
2002-12,0.000,
2003-01,0.000,
2003-02,0.000,
2003-03,0.000,
2003-04,.,No value available
2003-05,.,No value available
2003-06,0.000,
2003-07,.,No value available
2003-08,0.001,
2003-09,0.000,
2003-10,0.000,
2003-11,0.000,
2003-12,.,No value available
2004-01,0.000,
2004-02,0.000,
2004-03,.,No value available
2004-04,0.000,
2004-05,0.000,
2004-06,0.000,
2004-07,0.000,
2004-08,0.000,
2004-09,0.000,
2004-10,0.000,
2004-11,0.000,
2004-12,.,No value available
2005-01,.,No value available
2005-02,.,No value available
2005-03,.,No value available
2005-04,.,No value available
2005-05,.,No value available
2005-06,0.000,
2005-07,-,Nothing exists
2005-08,-,Nothing exists
2005-09,-,Nothing exists
2005-10,0.000,
2005-11,.,No value available
2005-12,.,No value available
2006-01,.,No value available
2006-02,.,No value available
2006-03,.,No value available
2006-04,.,No value available
2006-05,.,No value available
2006-06,.,No value available
2006-07,.,No value available
2006-08,.,No value available
2006-09,.,No value available
2006-10,.,No value available
2006-11,0.007,
2006-12,0.001,
2007-01,0.001,
2007-02,0.015,
2007-03,0.015,
2007-04,0.006,
2007-05,0.010,
2007-06,0.020,
2007-07,0.029,
2007-08,0.037,
2007-09,0.024,
2007-10,0.013,
2007-11,0.002,
2007-12,0.010,
2008-01,0.026,
2008-02,0.045,
2008-03,0.066,
2008-04,0.094,
2008-05,0.114,
2008-06,0.125,
2008-07,0.145,
2008-08,0.181,
2008-09,0.167,
2008-10,0.158,
2008-11,0.149,
2008-12,0.174,
2009-01,0.184,
2009-02,0.197,
2009-03,0.232,
2009-04,0.224,
2009-05,0.220,
2009-06,0.212,
2009-07,0.278,
2009-08,0.236,
2009-09,0.230,
2009-10,0.219,
2009-11,0.187,
2009-12,0.188,
2010-01,0.195,
2010-02,0.198,
2010-03,0.180,
2010-04,0.166,
2010-05,0.176,
2010-06,0.169,
2010-07,0.180,
2010-08,0.185,
2010-09,0.147,
2010-10,0.153,
2010-11,0.127,
2010-12,0.114,
2011-01,0.106,
2011-02,0.105,
2011-03,0.094,
2011-04,0.089,
2011-05,0.094,
2011-06,0.108,
2011-07,0.110,
2011-08,0.107,
2011-09,0.100,
2011-10,0.095,
2011-11,0.081,
2011-12,0.129,
2012-01,0.189,
2012-02,0.189,
2012-03,0.181,
2012-04,0.180,
2012-05,0.187,
2012-06,0.164,
2012-07,0.170,
2012-08,0.167,
2012-09,0.162,
2012-10,0.181,
2012-11,0.185,
2012-12,0.179,
2013-01,0.169,
2013-02,.,No value available
2013-03,0.198,
2013-04,0.194,
2013-05,0.194,
2013-06,0.191,
2013-07,0.124,
2013-08,0.127,
2013-09,0.127,
2013-10,0.101,
2013-11,.,No value available
2013-12,.,No value available
2014-01,.,No value available
2014-02,.,No value available
2014-03,.,No value available
2014-04,.,No value available
2014-05,.,No value available
2014-06,.,No value available
2014-07,.,No value available
2014-08,.,No value available
2014-09,0.101,
2014-10,0.146,
2014-11,0.177,
2014-12,0.225,
