"",BBSF2.M.1.S.00000.GEL01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.GEL01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Money market funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:18,
2009-09,328,
2009-10,322,
2009-11,243,
2009-12,64,
2010-01,173,
2010-02,645,
2010-03,654,
2010-04,701,
2010-05,546,
2010-06,567,
2010-07,541,
2010-08,306,
2010-09,277,
2010-10,134,
2010-11,25,
2010-12,32,
2011-01,14,
2011-02,16,
2011-03,18,
2011-04,17,
2011-05,13,
2011-06,64,
2011-07,21,
2011-08,18,
2011-09,13,
2011-10,16,
2011-11,14,
2011-12,15,
2012-01,13,
2012-02,21,
2012-03,7,
2012-04,10,
2012-05,19,
2012-06,17,
2012-07,21,
2012-08,23,
2012-09,21,
2012-10,30,
2012-11,6,
2012-12,20,
2013-01,29,
2013-02,200,
2013-03,225,
2013-04,269,
2013-05,277,
2013-06,72,
2013-07,17,
2013-08,16,
2013-09,5,
2013-10,6,
2013-11,12,
2013-12,3,
2014-01,2,
2014-02,3,
2014-03,2,
2014-04,3,
2014-05,1,
2014-06,2,
2014-07,5,
2014-08,1,
2014-09,1,
2014-10,4,
2014-11,1,
