"",BBK01.OELB01S,BBK01.OELB01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:19,
2002-01,2.256,
2002-04,2.259,
2002-07,2.282,
2002-10,2.321,
2003-01,2.297,
2003-04,2.316,
2003-07,2.324,
2003-10,2.291,
2004-01,2.273,
2004-04,2.284,
2004-07,2.233,
2004-10,2.160,
2005-01,2.139,
2005-04,2.132,
2005-07,2.129,
2005-10,2.088,
2006-01,2.059,
2006-04,2.082,
2006-07,2.066,
2006-10,2.054,
2007-01,2.082,
2007-04,2.019,
2007-07,2.027,
2007-10,1.980,
2008-01,1.980,
2008-04,2.021,
2008-07,2.066,
2008-10,2.047,
2009-01,2.076,
2009-04,2.104,
2009-07,2.240,
2009-10,2.334,
2010-01,2.332,
2010-04,2.360,
2010-07,2.368,
2010-10,2.406,
2011-01,2.432,
2011-04,2.482,
2011-07,2.489,
2011-10,2.676,
2012-01,2.727,
2012-04,3.225,
2012-07,3.247,
2012-10,3.209,
2013-01,3.250,
2013-04,3.294,
2013-07,3.346,
2013-10,3.384,
2014-01,3.402,
2014-04,3.452,
2014-07,3.485,
