"",BBK01.OEBJ08I,BBK01.OEBJ08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:51,
2002-01,0.023,
2002-04,0.022,
2002-07,0.022,
2002-10,0.021,
2003-01,0.021,
2003-04,0.021,
2003-07,0.017,
2003-10,0.018,
2004-01,0.023,
2004-04,0.021,
2004-07,0.017,
2004-10,0.016,
2005-01,0.015,
2005-04,0.021,
2005-07,0.039,
2005-10,0.052,
2006-01,0.019,
2006-04,0.019,
2006-07,0.017,
2006-10,0.019,
2007-01,0.019,
2007-04,0.019,
2007-07,0.014,
2007-10,0.014,
2008-01,0.014,
2008-04,0.014,
2008-07,0.013,
2008-10,0.016,
2009-01,0.028,
2009-04,0.021,
2009-07,0.023,
2009-10,0.021,
2010-01,0.022,
2010-04,0.023,
2010-07,0.021,
2010-10,0.015,
2011-01,0.016,
2011-04,0.014,
2011-07,0.014,
2011-10,0.013,
2012-01,0.015,
2012-04,0.017,
2012-07,0.017,
2012-10,0.021,
2013-01,0.030,
2013-04,0.032,
2013-07,0.034,
2013-10,0.030,
2014-01,0.028,
2014-04,0.026,
2014-07,0.024,
