"",BBK01.OEHK02P,BBK01.OEHK02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:32,
2002-01,0.179,
2002-04,0.179,
2002-07,0.185,
2002-10,0.188,
2003-01,0.185,
2003-04,0.179,
2003-07,0.188,
2003-10,0.209,
2004-01,0.186,
2004-04,0.187,
2004-07,0.188,
2004-10,0.192,
2005-01,0.185,
2005-04,0.189,
2005-07,0.200,
2005-10,0.206,
2006-01,0.218,
2006-04,0.220,
2006-07,0.217,
2006-10,0.226,
2007-01,0.225,
2007-04,0.228,
2007-07,0.231,
2007-10,0.241,
2008-01,0.243,
2008-04,0.278,
2008-07,0.235,
2008-10,0.253,
2009-01,0.248,
2009-04,0.264,
2009-07,0.289,
2009-10,0.295,
2010-01,0.347,
2010-04,0.318,
2010-07,0.332,
2010-10,0.342,
2011-01,0.335,
2011-04,0.335,
2011-07,0.343,
2011-10,0.347,
2012-01,0.352,
2012-04,0.349,
2012-07,0.360,
2012-10,0.373,
2013-01,0.376,
2013-04,0.386,
2013-07,0.404,
2013-10,0.419,
2014-01,0.425,
2014-04,0.436,
2014-07,0.449,
