"",BBK01.OELB02L,BBK01.OELB02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:54,
2002-01,4.915,
2002-04,4.989,
2002-07,4.862,
2002-10,4.716,
2003-01,4.612,
2003-04,4.441,
2003-07,4.470,
2003-10,4.242,
2004-01,4.090,
2004-04,3.969,
2004-07,3.921,
2004-10,3.717,
2005-01,3.793,
2005-04,3.684,
2005-07,3.673,
2005-10,3.529,
2006-01,3.633,
2006-04,3.520,
2006-07,3.596,
2006-10,3.417,
2007-01,3.382,
2007-04,3.406,
2007-07,3.316,
2007-10,3.280,
2008-01,3.383,
2008-04,3.262,
2008-07,3.330,
2008-10,3.321,
2009-01,3.350,
2009-04,3.247,
2009-07,3.239,
2009-10,3.058,
2010-01,3.100,
2010-04,3.020,
2010-07,2.945,
2010-10,2.774,
2011-01,3.000,
2011-04,2.958,
2011-07,3.004,
2011-10,2.865,
2012-01,3.042,
2012-04,3.043,
2012-07,3.165,
2012-10,2.918,
2013-01,3.097,
2013-04,2.937,
2013-07,2.969,
2013-10,2.904,
2014-01,3.062,
2014-04,2.993,
2014-07,3.101,
